Frame,Time (ms),,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity 
0,0,,94.0833,,95.6429,,123.1458,,153.2333,,162.25,,171.8393,,170.3056,,190,,161.2031,,186.0625,,165.5556,,141.2653,,162.25,,124.4286,,171.5833,,172.6033,,190.2955,,231.2083,,237.52,,210.4524,,212.3571,,215.1667,,194.2667,,242.2,,230.9048,,176.3061,,202.4028,,190.3214
1,10754,,95.0833,,95.9286,,120.5625,,153.5,,159.6667,,167.9464,,170,,194.0667,,157.5469,,185.5125,,167.2778,,137.449,,161.3095,,123.2245,,168.6944,,172.0496,,189.8295,,230.7917,,236.8,,209.7619,,209.0357,,214.5625,,194.9,,242.9,,228.6429,,177.5714,,200.4722,,188.5
2,20753,,94.125,,93.9643,,123.7083,,151.3667,,162.0833,,168.4643,,169.5556,,190,,160.8594,,187.85,,168.1111,,136.551,,161.131,,123.7959,,168.3333,,170.8843,,189.1591,,233,,237.54,,209.2143,,209.4464,,212.5208,,193.0333,,240.5,,228.8333,,175.898,,199.5,,189.3214
3,30754,,93.6042,,96.1786,,121.2292,,151.0333,,162.4792,,170.5536,,170.75,,190.4667,,159.7969,,186.675,,167.8333,,138.3469,,160.2619,,125.2041,,170.3889,,172.3223,,188.7955,,233,,238.28,,209.3095,,210.9464,,215.9167,,193.3667,,242.05,,234.6429,,176,,202.8472,,187.5357
4,40753,,96.4583,,97.8214,,123.0208,,151.9667,,159.7917,,168.2857,,171.5833,,189,,160.2969,,185.3,,163.6667,,139.8163,,161.5119,,124.5918,,171.1806,,172.4132,,189.6818,,233.7083,,239.32,,209.3095,,209.8214,,214.5208,,194.4,,244.95,,230.2143,,173.6122,,202.7361,,188.1786
5,50752,,94.6042,,95.9643,,121.6042,,149.3,,158.8333,,169.3393,,169.3333,,190.3333,,156.875,,182.7375,,162.1667,,135.7143,,159.7143,,122.8163,,169.5,,168.9752,,187.3295,,230.0417,,235.1,,207.0952,,209.6786,,209.6875,,190.4,,235.1,,227.4286,,173.5918,,199.2917,,185.3571
6,60753,,93.4583,,94.5714,,120.7292,,150.7,,160.375,,168.4821,,168.1111,,188.4667,,157.2188,,184.3,,167.4444,,138.3673,,160.9524,,123.3061,,169.0972,,169.8182,,188.3636,,230.5,,235.32,,207.5714,,210.25,,211.2917,,191.6,,242.55,,227.6905,,174.7143,,200.2639,,187.0714
7,70752,,95.2292,,96.8214,,122.9583,,154.0333,,163.0417,,172.8393,,172.3889,,193.0667,,161.2031,,187.8875,,169.6667,,139.4082,,161.7619,,125.2653,,172.2361,,172.8347,,191.4773,,235.875,,239.5,,208.2381,,211.3214,,215.5417,,194.8667,,241.95,,235.0238,,176.8571,,203.6528,,190.5714
8,80832,,95.7917,,97.7857,,122.3958,,151.5667,,161.9167,,170.9464,,170.0278,,194.3333,,161.0938,,185.9625,,167.7778,,137.9592,,161.75,,125.0816,,170.6944,,172.5537,,191.7841,,233.75,,238.72,,208.9048,,211.0179,,215.1875,,197.3,,242.55,,233.5,,177.8367,,202.8194,,190.0714
9,90767,,94.8125,,96.4286,,124,,154.5333,,163.7917,,171.3393,,169.7778,,192.9333,,159.9688,,185.85,,167.5,,137.3673,,162.3214,,124.2653,,171.0139,,172.9587,,190.4205,,233.9167,,241,,209.9524,,212.25,,214.8333,,193.9333,,242.3,,230.9762,,175.2857,,201.1806,,189.2857
10,100766,,96.5625,,99.6429,,125.2917,,155.4333,,165.4375,,172.3393,,173.0556,,194.8,,164.5625,,188.475,,169.5556,,140.1429,,164.7619,,127.102,,174.75,,175.5372,,193.3523,,236.4583,,241.74,,209.8095,,213.1964,,218.25,,196.4667,,246.25,,236.6429,,180.2245,,204.6528,,192.1071
11,110766,,96.4792,,97.6429,,125.0417,,155.3667,,164.6458,,173.625,,174.2778,,196.4,,162.3281,,187.9125,,167.8333,,140.4898,,163.0119,,127.449,,174.5972,,175.1074,,193.0909,,234.2917,,240.42,,211.7857,,214.75,,217.25,,197.8333,,244.35,,235.9762,,179.5918,,204.8889,,192.2857
12,120767,,96.2708,,97.1429,,124,,153.7667,,163.6875,,171.4821,,174.4167,,196.8667,,162.5156,,186.4875,,168.5556,,140.0816,,162.6905,,124.1837,,171.2083,,173.8347,,190.6136,,231.8333,,238.52,,209.9048,,213.7143,,215.8125,,194.8,,242.95,,232.3571,,176.0408,,203.4306,,190
13,159294,,94.6458,,95.3571,,121.8958,,151.4667,,161.8958,,167.9464,,169.4722,,188.9333,,158.4688,,184.2,,166.4444,,137.2041,,160.9762,,122.1225,,168.4028,,170.5785,,187.3864,,228.2917,,234.3,,206.2619,,210.625,,212,,190.6333,,241.25,,228.7143,,173.1633,,198.0417,,185.5
14,169281,,92.5208,,95.6429,,122.7292,,151.0667,,157.4583,,166.5893,,168,,188,,158.6406,,182.6125,,161.3889,,137.2041,,159.0714,,120.2245,,166.3889,,168.7934,,187.2273,,229,,234.52,,205.7381,,206.4286,,209.9792,,189.4,,239.85,,226.6667,,170.551,,197.1111,,183.2857
15,179279,,91.9792,,94.0714,,121.7083,,149.5333,,157.1875,,165.625,,165.0556,,190.0667,,155.1563,,180.9375,,161.5,,134.2041,,158.9643,,118.7959,,164.4028,,167.2231,,185.2955,,227.625,,231.66,,205.2143,,205.7143,,206.8542,,189.9333,,233.85,,224.7619,,172.4082,,196.875,,182.75
16,189279,,91.625,,92.4643,,120.2708,,149.5,,156.8125,,165.7143,,167.0278,,187.8667,,154.9531,,181.475,,162.2778,,136.7347,,157.6905,,119.2857,,166.4722,,168.1488,,185.0341,,226,,231.62,,204.3571,,204.4821,,208.4167,,190,,239.1,,225.5238,,171.6122,,196.6111,,183.4286
17,199279,,93.6667,,95.8571,,122.5625,,149.8333,,161.4583,,168.625,,172.6389,,185,,158.7813,,186.325,,164.9444,,137.7755,,161.4643,,122.4286,,169.3611,,170.5785,,189,,235.0417,,233.36,,207.6667,,210.0357,,211.7917,,190.6333,,240.35,,227.4048,,174.7551,,198.7083,,188.3929
18,209279,,94.3333,,94.9643,,122.0833,,152.5667,,158.9792,,167.625,,168.8611,,186.8667,,158.1406,,183.35,,166.9444,,136.6531,,158.5714,,123.3061,,168.9861,,169.7025,,188.1591,,230.75,,233.32,,207.4286,,208.9107,,211.8958,,188.8,,241.55,,229.7619,,174.7143,,200.875,,187.2143
19,219278,,93.6667,,92.8214,,120.6667,,149.7333,,157.6667,,167.875,,166.1944,,189.1333,,156.9531,,182.0875,,161.8889,,133.0204,,159.1429,,123.102,,168.2639,,169.3058,,187.1023,,228.0833,,233.62,,205.0714,,207.4464,,208.5833,,188.8667,,237.75,,227.619,,171.7551,,197.3472,,184.6429
20,229278,,95.2083,,95.6429,,121.7917,,150.6,,158.3542,,168.9643,,172.3611,,191.0667,,157.5625,,183.8875,,166.5,,136.6531,,160.619,,123.5102,,170.5694,,170.9174,,189.0682,,231.25,,237.42,,205.6667,,208.7143,,211.4583,,193.4667,,240.35,,229.1667,,174.9796,,200.6389,,187.5
21,239279,,95.4792,,96.25,,122.0208,,149.6,,160.6667,,167.8036,,168.0556,,194.1333,,159.3281,,186.05,,163.6667,,138.6327,,160.8571,,122.8775,,171.1667,,171.7521,,188.25,,230.75,,236.32,,207.6905,,211.1607,,211.2917,,193.9333,,242.1,,230.4762,,175.551,,201.3472,,189.6071
22,249277,,94.8958,,97.0714,,122.8958,,153.3,,161.8542,,169.8036,,171.9444,,192.2667,,160.7188,,186.3,,165.6667,,138.102,,161.8929,,123.9184,,171.375,,173.2727,,188.6136,,232.7917,,235.78,,210.2619,,210.7679,,215.4583,,192.3333,,243.25,,232.2381,,177.2449,,201.9722,,190.5
