Frame,Time (ms),,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity 
0,0,,36.8,,41.2333,,40,,33.1667,,36.0625,,16.1,,23.0714,,24.175,,25.5,,24.7963,,24.1786,,25.1563,,24.3704,,22.4,,20.5667,,22.2,,23.48,,19.4167,,21.9524,,19.5238,,21.35,,19.7,,23.8095,,23.7143,,23.9667,,23.25,,22.3667,,22.36
1,10805,,38.2,,41.5333,,40.2286,,33.0556,,35.125,,17,,23.2321,,24.5625,,24.6111,,25.6667,,24.8571,,25.8125,,26.6667,,23.6286,,20.3,,24.6,,22.72,,19.75,,22.3571,,19.2381,,22.5,,20.4,,24.2857,,23,,23.4333,,22.1,,23.7,,22.2
2,20801,,36.85,,43.8,,40.2857,,33.9444,,34.9063,,16.1,,24.0357,,24.575,,25.5,,24.7593,,25.1071,,25.75,,24.6296,,23.4857,,19.9667,,25.35,,22.4,,18.7708,,21.7857,,19.8333,,21.8,,19,,24.1667,,23.5714,,24.5,,22.35,,22.7667,,21.84
3,30800,,37.75,,42.0333,,39,,32.7222,,35.7813,,15.9333,,23.1786,,25.2375,,25.0694,,24.7222,,25.1071,,24.5625,,25.2963,,24.2286,,20.4667,,24.6,,22.48,,19.9375,,22.1429,,18.381,,22.45,,20.7,,24.7857,,23.2041,,24.3667,,23.7,,23.2,,21.8
4,40800,,38.05,,40.2333,,38.6571,,34.2778,,35.0938,,16.5667,,23.7321,,25.6625,,25.0972,,24.537,,25.6786,,24.2188,,26.1111,,23.6857,,19.1,,25.15,,22.64,,18.9167,,22.1905,,19.1667,,22.1,,17.9,,24.7857,,23.9388,,23.8667,,22.45,,22.8667,,21.44
5,50799,,37.15,,44.1333,,39.4857,,33.3889,,35.8125,,16.2667,,23.6607,,25,,25.6944,,24.963,,25.75,,25.4063,,25.0741,,23.1429,,20.4333,,24.8,,22.48,,19.4375,,21.9286,,19.6667,,23.45,,20.1,,24.9286,,23.2653,,25.0667,,23.85,,23.2667,,21.2
6,60799,,37.55,,43.1667,,39.2286,,32.4444,,34.4063,,17,,23.1786,,25.0625,,24.7361,,24.9444,,24.8214,,25.1563,,25.6667,,22.6857,,19.7667,,23.75,,22.32,,18.2917,,21.6905,,19.3095,,23.4,,20.9,,25.0714,,22.7347,,24.0667,,22.95,,22.3333,,20.28
7,70799,,36.5,,42.2333,,39.2571,,31.1667,,33.5625,,16.8333,,23.0357,,24.55,,25.1389,,25.3519,,25.0357,,25.7813,,26.6296,,21.5429,,21.7333,,23.9,,22.12,,19.4375,,22.7381,,18.6905,,23.3,,19.4,,24.2619,,23.3061,,24,,23.7,,22.8667,,20.88
8,80798,,36.3,,42.3667,,39.6286,,32.6667,,34.875,,16.7333,,23.5179,,25.325,,25.0139,,25.6667,,26,,25.625,,25.963,,23.3714,,20.3667,,24.05,,22.64,,18.5833,,21.9286,,19.0476,,22.35,,20.5,,25.1667,,23.5102,,23.6667,,23.1,,22.3667,,20.56
9,90799,,39.1,,41.9,,39.6,,32.3889,,35.2813,,17.1333,,22.7321,,24.8125,,25.25,,25.037,,24.75,,25.6875,,25.7037,,23.8,,22.1,,24.5,,22.84,,19.6042,,22.3571,,19.5,,22.95,,20.4,,24.0476,,24.2449,,24.6333,,24.15,,22.9,,21.04
