Frame,Time (ms),,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity 
32,357076,,14.1755,,18.827,,18.6107,,18.2633,,18.3641,,19.1089,,13.7256,,15.4252,,15.6813,,16.8708,,15.6766,,16.3701,,13.0873,,11.5832,,12.6769
33,367075,,14.8751,,17.5431,,16.8298,,21.8417,,18.6563,,20.8686,,15.194,,16.376,,16.4884,,14.5285,,15.9432,,14.1763,,13.0586,,15.366,,12.8535
34,377076,,14.3495,,15.2789,,21.1147,,16.8791,,16.5722,,21.9723,,16.2582,,15.084,,15.098,,16.5413,,13.611,,15.124,,12.7509,,12.3316,,12.7927
35,387075,,14.3313,,13.5028,,19.4798,,16.0721,,18.4434,,23.1058,,19.9259,,15.8315,,16.1932,,15.4659,,14.7094,,16.0114,,12.0712,,14.5597,,13.1017
36,397075,,14.4324,,17.4259,,18.5464,,24.167,,18.8935,,17.8252,,18.4827,,16.7554,,15.284,,16.8876,,15.1056,,15.0695,,13.6378,,12.2165,,12.9226
37,407075,,14.6564,,14.3849,,15.6626,,19.3819,,17.0941,,22.2801,,14.7823,,16.374,,14.7203,,14.4176,,14.2158,,13.9842,,12.9715,,13.1846,,13.2815
38,417075,,15.5177,,14.5253,,17.8641,,19.855,,15.2568,,19.4783,,14.5509,,15.7378,,14.8343,,15.212,,14.8392,,14.6281,,14.0132,,13.0613,,13.1736
39,427074,,15.0451,,17.8545,,19.8668,,18.3346,,15.3321,,22.4347,,13.9171,,14.7304,,19.0938,,15.4479,,16.3514,,14.6198,,13.082,,13.5796,,12.3209
40,437074,,19.2625,,16.4295,,19.881,,19.7797,,15.8182,,20.7332,,13.882,,14.3393,,15.9432,,14.3458,,15.5683,,16.0672,,12.1628,,15.0424,,12.5446
41,486938,,23.1658,,34.1779,,32.836,,24.1901,,24.8138,,26.4018,,28.7638,,16.881,,18.5082,,17.2194,,17.83,,17.3419,,15.6129,,19.7307,,17.2819
42,496932,,17.9219,,25.1612,,25.7219,,24.898,,22.1851,,24.0938,,27.216,,17.6073,,15.7089,,17.0592,,14.8184,,16.8394,,14.6693,,15.2009,,16.4667
43,506931,,21.4844,,23.8064,,30.0771,,25.9271,,24.5477,,24.8299,,23.3182,,17.4049,,17.3322,,17.2464,,19.764,,17.5419,,16.9069,,15.1139,,19.5648
44,516931,,19.1261,,21.3072,,25.3124,,24.9707,,24.4334,,26.6139,,23.2838,,18.8932,,17.9677,,17.2203,,16.4481,,18.7131,,15.3523,,16.9123,,17.4828
45,526930,,18.1206,,20.5716,,22.9562,,23.9122,,23.9482,,23.5785,,22.222,,18.277,,16.9546,,18.725,,19.5562,,18.9629,,15.0516,,18.247,,17.5519
46,536930,,17.8122,,19.6645,,25.4485,,20.5938,,22.8148,,32.7612,,22.7586,,18.4367,,20.4731,,16.4109,,16.9562,,17.2799,,13.6602,,17.4029,,14.7527
47,546931,,19.9997,,22.5038,,25.248,,21.5594,,19.8001,,29.3683,,23.0318,,18.1526,,17.6077,,17.0171,,16.9996,,16.813,,14.935,,17.1797,,16.0732
48,556930,,18.3491,,19.3144,,19.1982,,22.6197,,22.9647,,23.2525,,22.1008,,18.9985,,16.3573,,17.5422,,16.4772,,16.3746,,14.3032,,15.9143,,16.8433
49,566930,,16.3251,,20.3964,,22.3096,,20.3766,,21.6409,,24.133,,20.4046,,18.9374,,18.0093,,16.5689,,16.8447,,17.792,,14.1393,,16.8081,,16.8134
50,576928,,21.5796,,21.0918,,22.6698,,21.7494,,22.9548,,26.2099,,18.3641,,19.4622,,17.4957,,19.1056,,17.2029,,15.9226,,14.5569,,17.8855,,16.4499
