Frame,Time (ms),,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity 
0,0,,216.7083,,138.2917,,127.05,,171.74,,140.3333,,148.5556,,144.1429,,182.4844,,141.6327,,151.119,,136.1667,,102.2121,,170.9219,,126.0938,,179.4938,,181.0333,,163.9762,,175.1746,,187.0612,,165.3333,,148.4286,,173.9167,,187.6,,170.9429,,165.9333,,165.1633,,223.6939,,217.7857
1,10754,,214.1458,,136.8958,,125.775,,171.17,,138.1429,,150,,142.2381,,181.0313,,141.9184,,150.3095,,136.2083,,102.1313,,170.4844,,125.4375,,179.7654,,179.3,,160.0952,,173.6984,,186.102,,165.7556,,146.8095,,170.75,,185.2667,,167.6,,164.3667,,162.9184,,221.6122,,215.3333
2,20753,,215,,136.1042,,124.275,,171.16,,139.1667,,151.0278,,141.1905,,181.4688,,138.3061,,149.8095,,137.3889,,100.1818,,169.125,,123.9063,,177.716,,178.0667,,161.4762,,173,,187.8775,,165.8222,,147.0714,,169.6389,,183.8,,169.1429,,164.9,,163.5918,,220.898,,214.6667
3,30754,,215.7083,,136.3333,,126.8,,173.12,,138.5714,,151.5556,,142.9286,,182.5625,,142.4082,,150.2619,,137.2778,,101.4444,,171.8906,,126.75,,179.5062,,179.8667,,162.381,,173.4286,,185.2449,,165.1778,,147.4762,,173.8889,,188.5,,170.1714,,166.6667,,165.6327,,222.4082,,216.9286
4,40753,,215.7396,,136.9167,,125.45,,170.86,,138.4762,,149.6667,,141.5714,,181.3438,,141.102,,148.6429,,135.375,,101.5051,,171.1563,,124.25,,179.2716,,179.9778,,160,,173.3968,,190,,164.4222,,149.3333,,172.7222,,186.2,,168.4571,,166.3667,,163.2857,,220.1225,,215.1429
5,50752,,211.1042,,135.4583,,123.475,,169.27,,137.5,,150.0278,,141.7381,,179.5469,,139.9184,,149.6667,,134.4167,,100.8485,,168.0313,,122.1094,,176.8025,,176.6889,,156.8095,,170.7143,,184.9796,,162.2,,146.1905,,168.7778,,184.2,,167.2571,,163.4,,159.3673,,218.6531,,210.8333
6,60753,,213.0313,,138.2917,,123.225,,170.76,,139.0952,,151.8889,,143.2143,,181.7031,,142.7551,,149.9048,,136.0833,,102.6465,,168.8594,,124.5781,,177.9012,,176.9444,,159.5238,,174.746,,185.4898,,164.0889,,146.8333,,168.4167,,183.7667,,165.4571,,165.6333,,163.2041,,218.551,,215.1429
7,70752,,215.9375,,138.1458,,127.875,,174.24,,139.4524,,150.6667,,143.9762,,182.7344,,142.0816,,149.2381,,136.25,,104.1818,,169.7969,,124.2813,,179.5185,,181.9,,164.5238,,175.873,,188.898,,167.5778,,148.3571,,173.3056,,188.8333,,169.8571,,167,,164.1837,,222.4898,,218
8,80832,,216.3229,,140.2708,,126.35,,173.33,,140.5714,,150.0556,,142.1667,,182.4063,,141.6122,,149.8095,,137.125,,103.8485,,172.3906,,125.125,,178.7901,,182.0667,,162.0476,,175.4762,,187.0612,,165.9111,,149.5476,,174.1667,,186.3667,,168.8571,,166.5667,,166.8775,,221.8775,,216.6667
9,90767,,217.2083,,138.1875,,127.3,,172.14,,139.619,,151.0556,,141.9524,,183.5625,,143.1429,,150.3333,,137.2917,,103.4949,,170.0781,,124.875,,179.0864,,180,,162.3571,,172.3333,,188,,164.7778,,149.0476,,172.6389,,188.8667,,167.0286,,168.2333,,164.0816,,221.7959,,217.5714
10,100766,,217.4792,,140.3542,,127.475,,174.3,,142.381,,153,,144.5714,,183.5781,,145.2857,,151.5952,,138.625,,103.0808,,171.7656,,126.4219,,181.8395,,180.7333,,163.3571,,176.6349,,190.3265,,168.0889,,150.6905,,175.1944,,191.4333,,169.7143,,168.9,,166.6531,,222.449,,218
11,110766,,216.2292,,139.8333,,127.575,,175.8,,143,,154.0556,,144,,184.0938,,145.102,,151.7857,,139.3194,,104.8687,,174.2656,,127.7031,,181.4321,,182.0444,,164.4048,,177.619,,190.6735,,166.3556,,152.7143,,176.5,,188.1667,,170.4286,,168.5667,,168.1837,,225,,219.5476
12,120767,,216.75,,138.2708,,127.4,,174.15,,139.5238,,149.2222,,145.5476,,184.4063,,145.2653,,150.4524,,137.9028,,103.7172,,171.4844,,125.4063,,179.5062,,180.8667,,161.5476,,175.8095,,189.898,,166.0889,,149.5952,,174.6389,,188.7,,170.2571,,166.4667,,165.7959,,225.2857,,218.9048
13,159294,,213.3333,,135.7083,,124.875,,170.12,,137.5476,,147.75,,139.6667,,180.0313,,140.4286,,146.381,,135.9861,,101.3737,,170.1563,,125.1719,,178.9136,,177.1111,,160.8095,,172.746,,186.6327,,164.8667,,146.7381,,171.5833,,186,,166.2571,,163.7,,163.2041,,218.0816,,214.2619
14,169281,,211.3438,,136.7292,,123.125,,167.88,,136.1429,,148.3333,,139.3333,,178.7344,,139.0816,,147.4524,,133.75,,100.5657,,167.4844,,122.625,,176.8642,,177.1333,,159.8333,,171.7778,,183.5102,,160.5333,,143.8333,,169.5556,,180.7,,166.0286,,162.1333,,161.3265,,218.2653,,213.9762
15,179279,,209.1458,,133.5625,,121.075,,166.53,,135.4048,,146.8889,,138.9762,,178.0625,,137.5306,,144.5714,,132.9722,,100.2525,,167.0313,,122.875,,174.5679,,175.6444,,156.4286,,169.3175,,182.7347,,159.7556,,142.4048,,165.5,,181.6667,,163.4286,,160.7667,,160.5102,,213.2245,,209.7619
16,189279,,210.8021,,133.0417,,120.85,,168.07,,134.0476,,145.5278,,137.3095,,176.9063,,135.7959,,146.119,,133.5833,,100.1515,,167.125,,122.9375,,173.5062,,174.1222,,157.9048,,169.6825,,182.3673,,160.2889,,144.0952,,166.8889,,179.8,,162.6857,,161.9333,,160.7959,,216.6327,,210.381
17,199279,,213.1563,,136.9792,,124.825,,170.71,,138.9762,,150.3889,,141.4524,,181.4219,,141.6939,,147.6905,,135.7361,,101.9192,,169.8906,,123.5625,,178.1358,,177.8222,,158.9524,,172.0159,,184.7143,,162.5111,,146.1429,,171.3333,,184.1,,165.8286,,166.5,,166.3878,,219.1633,,213.0476
18,209279,,211.8125,,134.5208,,124.225,,169.94,,137.0476,,149.1667,,142.0238,,181.9219,,140.2449,,147.2619,,135.3056,,101.8889,,169.2031,,123.7656,,177.7037,,177.2556,,158.4762,,171.5238,,185.6531,,162.8667,,146.2857,,170.5278,,182.0333,,166.6286,,164.4,,162.6531,,219.2857,,213.3571
19,219278,,211.9271,,133.7083,,123.125,,169.4,,137.1429,,148.9167,,140.8333,,178.3281,,138.3469,,146.4048,,135.7361,,101.2525,,167.5313,,122.125,,176.2099,,176.2778,,157.7381,,170.5397,,180.9796,,159.5333,,144.5238,,166.9167,,180.6333,,165.5429,,161.7,,162,,216.7143,,211.1905
20,229278,,213.3958,,135.7083,,124.775,,172.26,,139.2619,,149.9722,,142.119,,179.8594,,140.7551,,150.2619,,135.5694,,102.3535,,168.1406,,124.5313,,177.2716,,177.9667,,160.7619,,173.6508,,186.4286,,163.1111,,146.1905,,169.6944,,183.0333,,166.5143,,162.7,,164.551,,220.449,,213.1905
21,239279,,214.6458,,138.2917,,124.625,,173.31,,137.8571,,149.7222,,142.8333,,181.6094,,142.1429,,146.6667,,136.0556,,102.9091,,171.0625,,125.2344,,178.4568,,178.0889,,160.2143,,173.1746,,187.0612,,164.1555,,147.8095,,171.3333,,186.0333,,168.9429,,165.0333,,165.4286,,220.4898,,216.881
22,249277,,214.9896,,136.2292,,125.65,,172.55,,138.2143,,152.4167,,143.0476,,183.4844,,139.5306,,149.8333,,136.8611,,102.8384,,170.5625,,124.9063,,178.9383,,178.4333,,161.2381,,173.7778,,187.1837,,165.2444,,148.3571,,172.0556,,185.9,,167.8286,,166.4333,,163.5306,,220.1429,,219.4286
23,259277,,212.9688,,138.125,,124.375,,169.48,,137.5,,147.3056,,142.2619,,181.6094,,141.2245,,146.5714,,136.0556,,100.3333,,167.6406,,122.5781,,177.0123,,175.9,,159.1667,,171.5079,,184.0612,,163.9778,,146.6429,,169.9167,,183.1,,168.1143,,164.9333,,162.0816,,218.8163,,214.3571
24,269278,,211.5625,,134.0625,,123.7,,168.2,,136.119,,148.1389,,142.2143,,179.7813,,140.7143,,147.1429,,134.625,,101.4242,,167.875,,123.9844,,177.1481,,175.3778,,157.6905,,170.2698,,186.0408,,162.2667,,146.5476,,168.1944,,184.4667,,164.9143,,162.0667,,162.1633,,216.7755,,212.4762
25,279276,,213.9792,,137.1667,,124.575,,170.36,,137.619,,150.75,,142.4524,,181.8281,,141.551,,149.3095,,136.2361,,101.4848,,169.9219,,124.3906,,177.7531,,179.2,,159.4048,,172.0635,,186.5918,,163.3333,,146.2857,,169.5833,,183.9667,,168.7143,,164.7,,165.449,,220.5306,,214.5476
26,289276,,212.1354,,135.75,,123.325,,171.01,,138,,149.5278,,142.2143,,181.9219,,142.3265,,147.881,,135.2361,,101.7778,,168.8594,,125.4063,,177,,178.4,,160.7143,,173.9206,,184.0612,,164.3333,,147.4286,,172.5556,,184.4667,,167.3428,,164.0333,,163.0408,,219.4286,,214.7857
