Frame,Time (ms),,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity 
16,195435,,19.4182,,19.2333,,18.8036,,19,,20.8286,,22.3977,,21.25,,21.2653,,19.4333,,20.7083,,21.14,,18.025,,20.8333,,13.65,,15.7917,,17.2,,17.08,,12.6,,13.4667,,22.3889,,18.6714,,21.6667,,19.2245,,21.4074,,16.0667,,24.3611,,15.9524,,16.3714
17,205435,,18.4,,18.2333,,17.875,,20.04,,21.2,,22.0909,,22.7857,,22.3061,,20,,20.2917,,21.64,,18.375,,19.6667,,14.25,,16.8333,,17.6,,17.68,,12.5429,,13.3333,,22.3889,,18.8714,,22.6111,,19.8163,,22.7037,,15.5333,,24.5833,,16.1905,,15.9714
18,215435,,18.4364,,19.0667,,18.375,,20.08,,21.2,,21.25,,22.3571,,21.7959,,18.8667,,19.6667,,20.18,,18.15,,20.8333,,14.2,,16.25,,17.35,,17.72,,13.4,,14.2333,,22.25,,18.2714,,22.7963,,21.102,,21.5,,15.8,,24.2778,,15.2381,,15.3714
19,225435,,19.1636,,17.3667,,18.4821,,19.84,,20.7143,,21.8636,,22.4643,,22.6327,,18.1,,20.2917,,20.94,,18.4,,21.875,,14.65,,16.5417,,17.075,,17,,14.1714,,13.9667,,21.9167,,18.9286,,22.6667,,20.449,,20.463,,15.6,,24.75,,16.0952,,15.1429
20,235435,,18.9273,,18.5,,18.8036,,20,,21.7429,,22.5455,,22.5,,22.1429,,20.4,,20.9167,,21.28,,18.45,,21.4167,,13.6,,16.0417,,17.375,,17.36,,12.6571,,14.2667,,22.1389,,18.3286,,22.0185,,20.1633,,20.9074,,15.8333,,24.6111,,16.5238,,15.6857
21,275469,,18.9636,,17.7667,,18.5179,,20.04,,20.1429,,21.7159,,22.75,,22.2653,,18.8,,19.875,,21.16,,17.65,,20.2917,,15,,17.5417,,17.05,,18.04,,12.6857,,14.3667,,23.1389,,19.1714,,22.963,,20.7959,,21.8333,,14.8,,25.3056,,15.619,,15.4857
22,285464,,18.8545,,18.9333,,18.5714,,19.72,,20.8286,,21.8523,,21.4286,,21.3878,,19.8667,,19.625,,21.4,,18.6,,20.875,,15.3,,16.75,,16.7,,16.56,,13.3429,,14.6,,22.6389,,19.0857,,23.4815,,20.898,,20.6667,,16.5,,25.3333,,14.9524,,14.4286
23,295464,,19.7091,,18.3,,18.1429,,21,,21.3429,,22.4886,,21.9643,,22.7755,,20.5667,,20.5,,21.48,,18.2,,20.7917,,14.05,,17,,17.25,,17.68,,12.6857,,13.9,,22.2778,,20.2143,,23.7222,,20.9184,,20.7778,,15.2667,,25.4167,,16.8571,,15.5143
24,305463,,18.0545,,18.1,,18.9286,,19.76,,20.1143,,21.5795,,22.0357,,22.3673,,19.9667,,21.2917,,21.28,,18.575,,20.875,,14.75,,17,,16.65,,18.28,,12.8857,,14.5667,,21.9722,,19.0857,,22.3889,,20.1837,,21.9815,,15.2,,24.2222,,15.619,,15.0857
25,315463,,19.4545,,18.0333,,18.9643,,19.76,,21.0571,,22.0227,,21.9643,,22.102,,19.3667,,20.7917,,21.22,,17.45,,20.5833,,14.05,,15.875,,17.9,,16.84,,13.0571,,13.8,,22.4444,,18.6714,,23.037,,20.3469,,22.0741,,17.0667,,25.0556,,15.8095,,15.5429
26,325463,,19.1818,,18.0333,,19.2857,,18.56,,20.6,,21.9432,,21.4286,,22.102,,19.8667,,20.7083,,21.86,,18.525,,21.375,,16.05,,16.375,,16.55,,17.92,,12.7429,,14.8,,21.8056,,19.3714,,22.3333,,21.5102,,21.6667,,15.9333,,25.0278,,14.5714,,15.4
27,335463,,18.9091,,18.4667,,17.9821,,20.16,,20.5714,,22.2955,,22.1786,,21.9592,,19.9333,,21,,21.14,,19.4,,20.2083,,14.45,,16.6667,,16.875,,18.2,,13.3714,,14.2667,,22.5556,,19.1571,,22.5926,,20.5918,,20.6852,,15.8,,23.1667,,15.4286,,15.9429
28,345462,,18.2727,,19.2333,,18.8036,,20.2,,21.1714,,22.5227,,21.6786,,22.2449,,20.4667,,19.0833,,21.4,,18.2,,20.625,,15.25,,16.2083,,17.275,,16.84,,13.0286,,13.8667,,22.5833,,18.2286,,21.7407,,20.8571,,21.6111,,16.3,,23.8889,,16,,15.1714
29,355462,,18.7273,,18.4333,,18.7321,,19.64,,20.6,,21.7727,,22.7857,,22.3469,,19.3667,,19.8333,,21.18,,18.475,,21.125,,14.15,,16.9583,,16.55,,17.72,,12.5429,,14.1667,,22.0833,,18.4,,23,,20.8367,,21.7407,,16.5333,,24.3889,,15.9524,,15.5429
30,365462,,18.5273,,17.6,,18.7321,,21.12,,21.2857,,22.125,,21.7143,,22.2041,,19.4,,20,,21.1,,17.35,,21.125,,15.25,,15.875,,17.825,,18.28,,12.8,,14.2333,,23,,18.7429,,22.2222,,21.2245,,21.7037,,15.1,,25.3889,,15.8095,,16.1143
31,375461,,19.0909,,18.4333,,17.75,,19.8,,20.7143,,21.875,,21.9643,,22.449,,18.6,,21.5,,21.18,,18.85,,20.2083,,14.2,,16.375,,17.275,,17.64,,13.0857,,14.3667,,21.5,,19.2143,,22.1852,,21.4286,,21.7963,,15.7333,,24.6389,,15.7619,,15.9429
32,385461,,18.7273,,18.0667,,18.9286,,20.92,,21.4,,22.2955,,21.9286,,22.0816,,20.1,,20.75,,21.82,,18.25,,20.625,,14.8,,16.5417,,17.525,,17.28,,14.0857,,14,,21.5,,18.7143,,23.037,,21.1429,,20.7778,,15.9333,,25.2222,,15.619,,16.6
33,395461,,18.8182,,18.7333,,18.6964,,19.88,,21.1429,,22.2159,,22.1786,,22.6122,,19.4333,,21.1667,,20.9,,18.9,,21.2917,,16.1,,15.9583,,17.925,,16.72,,13.3429,,14.3667,,22.3889,,18.5143,,22.4815,,20.7959,,22.2593,,15.7667,,24.9167,,15.9048,,16.5714
34,405460,,19.2727,,18.2,,18.6964,,20.88,,20.8857,,21.7727,,22.9643,,22.7347,,17.7,,20.25,,20.84,,19.825,,21.4583,,15.5,,16.9583,,17.125,,17.72,,12.8857,,14.6667,,22.0278,,18.9143,,22.5926,,20.9796,,21.1481,,16,,24.1944,,16.7143,,15.2
35,415460,,18.3091,,18.2,,19.375,,20.04,,22.1714,,22.1136,,21.25,,21.6327,,19.4333,,19.1667,,20.56,,18.35,,20.9167,,15.25,,15.9167,,17.35,,17.68,,13.1429,,13.5667,,22.3611,,18.1714,,21.8704,,21.3265,,20.6852,,15.5667,,24.5556,,16.4762,,15.5714
36,425460,,18.8,,17.7,,18.7143,,20.2,,20.8857,,22.7045,,21.6429,,22.0204,,19.3333,,20.6667,,21.6,,18.75,,20.625,,13.75,,16.5417,,16.525,,18,,12.8,,13.9333,,22.8889,,19.2714,,22.463,,20.6531,,20.5741,,15.5667,,23.5,,15.6667,,15.0571
37,435460,,18.6545,,18.8333,,18.4643,,19.92,,21.2571,,21.8409,,22.3214,,21.4898,,19.1333,,20.5417,,20.52,,18.475,,20.75,,14.1,,16.5833,,17.475,,17.8,,13.8857,,14.0333,,23,,18.8143,,22.6852,,20.2653,,20.5185,,15.9667,,24.3611,,15.5238,,14.9429
38,445459,,18.8,,17.7,,18.7143,,20.56,,21.7143,,21.7386,,22.2143,,22.3673,,19.4333,,21.0833,,20.24,,18.7,,21.5417,,15.05,,16.125,,17.375,,16.8,,13,,13.1,,22.5278,,18.7429,,22.9259,,20.4286,,20.8333,,16.7333,,25.1111,,15.0952,,15.3714
39,455459,,18.2182,,19.0667,,18.7857,,17.56,,21.1714,,21.8295,,22,,21.5102,,18.2,,15.9583,,18.18,,16.625,,19.1667,,13.75,,14.8333,,15.15,,16,,11.2571,,13,,21.8333,,18.6857,,23.0556,,20.0204,,19.6667,,14.7667,,25.6389,,13.6667,,15.8
40,465459,,19.2,,19.4,,18.7321,,19.72,,21.8857,,22.0568,,22.5357,,22.898,,19.2667,,21.2917,,22.3,,18.3,,20.2083,,14.85,,16.3333,,17.45,,16.88,,13.7714,,14.3667,,23.6111,,18.9,,22.8704,,20.8367,,21.5185,,16.4,,24.3889,,15.3333,,15.9429
41,475458,,18.4,,18.5,,17.7679,,20.64,,20.0571,,21.7955,,22.8571,,22.1429,,19.5,,20.375,,21.24,,18,,20.0417,,12.5,,16.7083,,17.075,,16.64,,13.1714,,14,,21.9722,,19.0857,,21.9074,,21.3469,,20.8519,,16.5,,25.2778,,15.9524,,15.0286
42,485458,,18.7455,,19,,19.0714,,19.96,,21.6,,21.9545,,22.1071,,22.4694,,19.6667,,21.625,,21.6,,18.025,,21.25,,14.6,,17.375,,16.675,,16.92,,12.8571,,14.0667,,22.8056,,18.8,,22.1852,,20.4082,,21.2778,,15.2,,24.8333,,15.9524,,15.6857
43,495458,,18.4182,,18.8667,,18.3036,,19.64,,21.0857,,21.5114,,22.4286,,22.1633,,19.9333,,20.6667,,21.5,,18.475,,21.25,,15.7,,15.8333,,17.5,,15.8,,13.7143,,14.2,,23.6944,,18.5143,,23.6296,,21.3878,,22.2778,,15.9667,,25.3611,,14.1905,,15.5429
44,505458,,19.2727,,18.2333,,18.9107,,19.84,,20.3143,,21.9773,,22.8571,,22.6122,,20.2,,20.5417,,20.86,,17.625,,20.4583,,15.55,,16.4583,,16.725,,17.28,,12.8286,,14.5667,,21.5278,,18.5857,,23.2778,,20.6735,,20.9259,,15.8,,24.1667,,15.619,,15.8
45,515457,,19.0364,,18.8333,,18.0536,,20.64,,19.9714,,21.7955,,22,,22.1633,,18.9667,,22.1667,,20.74,,18.425,,21.125,,14.1,,16.8333,,17.2,,15.8,,13.0857,,14.8667,,22.6111,,18.5,,22.2963,,20.8163,,20.9815,,15.1,,24.5,,16.3333,,15.6
46,525457,,18.3455,,19.2333,,18.7679,,19.6,,21,,22.3636,,22.1786,,21.7143,,20.1,,20.3333,,20.88,,18.75,,21.9167,,13.9,,16.3333,,16.875,,17.48,,13.3714,,13.8333,,22.4722,,18.9143,,22.4444,,21.3673,,21.463,,15.3667,,24.4722,,16.0476,,15.5714
