Frame,Time (ms),,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity 
17,171223,,18.7517,,12.5089,,18.0816,,10.9868,,13.6282,,16.165,,15.08,,18.8449,,22.7751,,19.1565,,18.9058,,16.3128,,20.8175,,20.657,,21.5757,,24.7056,,15.1601,,19.8819,,25.081,,19.7951,,17.0239,,25.1561,,22.0629,,24.9589,,20.2514,,21.5044,,18.8909,,17.69
18,217094,,19.252,,12.7808,,12.3672,,13.8985,,13.0477,,16.0237,,14.4907,,19.0171,,20.9096,,20.8571,,19.1438,,19.6199,,16.0767,,17.8308,,20.1504,,15.4757,,21.2466,,19.1639,,24.8638,,17.2397,,18.1403,,18.7345,,17.3317,,21.7906,,20.3967,,15.096,,16.8048,,19.9441
19,227080,,20.6112,,12.7486,,12.2799,,13.7903,,12.6488,,15.9758,,15.8421,,25.276,,20.1396,,16.6569,,14.6978,,11.8248,,17.042,,16.9113,,19.5525,,24.2808,,21.0354,,18.8429,,15.8827,,18.394,,16.6374,,17.7344,,14.5291,,13.906,,24.5532,,17.9558,,11.6617,,18.3374
20,237079,,21.038,,12.8186,,13.8493,,14.0096,,13.448,,15.5765,,15.0241,,12.9572,,18.3069,,18.016,,15.168,,11.2025,,15.1592,,16.4908,,21.2173,,17.096,,18.9668,,20.944,,15.2074,,23.005,,20.4824,,16.6344,,14.5338,,15.2909,,21.7423,,20.4713,,13.6208,,16.2425
21,247080,,21.4704,,13.4003,,11.464,,14.896,,12.9634,,14.5803,,13.9586,,20.0149,,20.5757,,13.969,,21.235,,15.4024,,15.606,,16.5146,,17.9235,,19.4458,,25.5276,,21.5457,,19.0713,,16.8987,,18.0428,,18.3862,,17.0776,,15.9334,,18.004,,14.2264,,13.2995,,16.028
22,257079,,22.4941,,12.5416,,13.4796,,15.2818,,13.2074,,16.2172,,14.9833,,15.2037,,18.8899,,18.6776,,15.1782,,14.4985,,13.9681,,21.177,,21.0456,,18.6524,,19.4166,,19.5527,,20.8131,,18.6531,,16.73,,16.7467,,14.3704,,20.2344,,19.1512,,14.5727,,15.4873,,16.7167
23,267078,,18.2809,,13.8432,,12.6751,,14.9317,,15.37,,18.5532,,14.3565,,14.7146,,18.3338,,17.3969,,13.8472,,13.4577,,15.5327,,18.3412,,19.2683,,19.0198,,19.1487,,18.8765,,16.8344,,20.3595,,16.6208,,16.5,,14.5665,,16.3906,,22.4574,,14.0569,,15.9534,,18.5432
24,277079,,21.6456,,12.6753,,15.2095,,15.9339,,14.7884,,17.9555,,15.0071,,20.9772,,16.6218,,19.5353,,15.5242,,10.3286,,15.471,,17.5727,,22.2612,,22.2744,,23.5084,,18.9631,,14.0042,,17.9737,,17.2592,,17.5443,,16.8016,,15.9329,,16.3066,,15.4906,,14.6394,,17.2933
25,287079,,18.4324,,12.5677,,12.8355,,11.9883,,13.6908,,18.0644,,13.92,,14.294,,14.9354,,13.854,,17.1011,,10.462,,15.9659,,19.1613,,17.5082,,17.0795,,21.3819,,18.0292,,17.12,,17.191,,17.1798,,17.5608,,15.0354,,19.4121,,21.7872,,13.7159,,14.1058,,20.3354
26,297078,,20.0127,,13.5956,,11.7473,,13.4383,,14.554,,16.4384,,15.8521,,18.3341,,16.2715,,14.4932,,15.4602,,16.2848,,16.3498,,19.8818,,21.7814,,20.877,,15.7331,,19.9157,,16.0873,,16.7376,,18.5331,,18.8189,,14.957,,17.5226,,20.8342,,14.9646,,14.5261,,18.4065
27,307078,,17.6166,,12.7825,,11.3199,,12.3004,,14.554,,16.0991,,15.7509,,14.2666,,13.779,,14.9136,,13.1287,,12.5456,,13.6519,,20.9986,,17.3117,,15.8573,,22.9475,,20.1275,,19.0139,,19.192,,16.8908,,17.6015,,14.5843,,17.9825,,20.0692,,13.0147,,11.2739,,15.6041
28,317078,,17.3641,,13.7966,,12.3738,,12.9248,,13.2824,,15.5478,,17.0582,,23.2304,,14.5442,,17.82,,15.2681,,14.6508,,14.057,,17.5412,,16.9718,,21.6274,,23.8877,,17.0317,,16.4566,,14.3994,,17.4919,,17.3724,,13.5989,,16.289,,17.1793,,13.7764,,12.8377,,18.662
29,327077,,17.581,,15.5873,,12.4135,,14.5671,,13.0972,,17.6916,,14.4491,,15.4221,,14.3838,,14.2071,,15.0953,,14.8105,,15.112,,18.8192,,23.07,,20.8572,,18.765,,16.6899,,16.0238,,16.282,,16.5013,,18.4646,,15.2608,,14.6906,,21.5356,,15.9018,,13.2107,,19.9015
30,337076,,19.366,,12.7214,,12.5044,,17.617,,13.4457,,14.461,,14.7555,,15.7682,,21.0133,,14.9206,,21.5978,,14.5168,,13.5667,,17.4928,,19.5287,,20.6243,,15.4297,,16.2631,,17.3974,,18.1878,,16.6849,,15.8813,,14.3823,,17.788,,16.0475,,12.617,,16.0761,,16.2105
31,347077,,16.7499,,13.3299,,14.0964,,15.1421,,13.7502,,16.7542,,14.9795,,22.0496,,17.1218,,13.848,,16.6324,,12.7838,,13.7486,,21.1448,,15.3155,,17.195,,18.8494,,17.955,,20.4547,,16.5064,,16.5876,,17.0133,,14.793,,17.4347,,14.8292,,14.6065,,16.9459,,16.0536
32,357076,,18.9212,,13.8045,,14.1947,,13.2643,,13.2941,,17.2378,,15.4365,,12.7556,,15.1083,,21.5079,,14.5975,,11.0508,,14.6841,,17.3301,,20.1433,,16.7565,,23.5414,,17.431,,14.8426,,20.6862,,16.6158,,16.9799,,14.5641,,16.9768,,19.6711,,17.9761,,14.8055,,19.6143
33,367075,,23.7242,,12.6095,,12.5916,,16.9939,,12.9639,,16.9485,,15.3081,,15.6763,,16.9875,,14.4055,,21.6862,,10.4765,,13.9544,,16.7983,,16.4185,,17.2648,,18.7487,,17.7501,,19.5625,,17.9585,,17.7931,,18.1416,,15.0899,,19.4239,,18.0462,,13.2317,,15.1045,,18.0883
