Frame,Time (ms),,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity 
43,496273,,0.7633,,0.5289,,0.8039,,0.8092,,0.714,,0.6055,,0.7614,,0.6932,,0.6376,,0.6369,,0.6675
44,506272,,0.7456,,0.5158,,0.7885,,0.7923,,0.7197,,0.6247,,0.7252,,0.6927,,0.6401,,0.6559,,0.6921
45,516272,,0.7583,,0.5147,,0.7949,,0.773,,0.7339,,0.6221,,0.746,,0.6701,,0.6377,,0.655,,0.6685
46,526271,,0.7497,,0.5051,,0.7993,,0.7787,,0.736,,0.582,,0.7349,,0.68,,0.6317,,0.6532,,0.6759
47,536271,,0.7378,,0.5184,,0.7909,,0.7657,,0.7383,,0.583,,0.7336,,0.6722,,0.652,,0.6622,,0.6723
48,546270,,0.745,,0.5158,,0.8014,,0.7669,,0.7109,,0.59,,0.7518,,0.6843,,0.6469,,0.646,,0.6662
49,556270,,0.7447,,0.5214,,0.7947,,0.7819,,0.707,,0.5859,,0.736,,0.7051,,0.6297,,0.6429,,0.68
50,566271,,0.7516,,0.518,,0.795,,0.7567,,0.6914,,0.6095,,0.7396,,0.6923,,0.6423,,0.6331,,0.6849
51,576270,,0.7574,,0.5232,,0.7963,,0.7672,,0.7212,,0.5995,,0.7528,,0.7052,,0.6659,,0.6603,,0.6649
52,586270,,0.7574,,0.5266,,0.799,,0.7642,,0.7354,,0.6375,,0.7506,,0.7284,,0.626,,0.6499,,0.6731
53,596269,,0.7844,,0.5344,,0.7806,,0.7625,,0.7057,,0.6035,,0.7597,,0.7163,,0.6292,,0.6443,,0.6631
54,606268,,0.8826,,0.5451,,0.7962,,0.7701,,0.71,,0.6153,,0.7941,,0.7727,,0.6423,,0.6421,,0.6801
55,616270,,0.8937,,0.5655,,0.8094,,0.7411,,0.7082,,0.6555,,0.9396,,0.8616,,0.6327,,0.6449,,0.6673
56,626269,,0.9151,,0.744,,0.7888,,0.756,,0.7385,,0.672,,0.8739,,0.8662,,0.6354,,0.6604,,0.6883
57,636269,,0.9189,,0.6778,,0.7945,,0.7549,,0.7146,,0.7793,,0.815,,0.8183,,0.6463,,0.658,,0.6707
58,646267,,0.8879,,0.7355,,0.7946,,0.7526,,0.7188,,1.0368,,0.8182,,0.8079,,0.6403,,0.6542,,0.6612
59,656268,,0.8783,,0.6912,,0.7863,,0.7533,,0.7311,,0.9568,,0.8014,,0.7986,,0.6442,,0.6704,,0.6856
60,666267,,0.8877,,0.7005,,0.8023,,0.7498,,0.7457,,0.7671,,0.8121,,0.822,,0.652,,0.6605,,0.6771
61,676266,,0.8863,,0.6685,,0.7938,,0.7532,,0.7443,,0.614,,0.8063,,0.8041,,0.6497,,0.6611,,0.6825
62,686267,,0.8894,,0.6714,,0.8014,,0.7679,,0.7034,,0.6106,,0.8103,,0.773,,0.6508,,0.657,,0.6706
63,696269,,0.9166,,0.6746,,0.8006,,0.7644,,0.7042,,0.5665,,0.8113,,0.8022,,0.6412,,0.6602,,0.6769
64,706266,,0.8931,,0.6701,,0.8005,,0.7487,,0.6864,,0.5581,,0.7967,,0.7832,,0.6343,,0.6785,,0.6556
65,716264,,0.8928,,0.6738,,0.7811,,0.7769,,0.6956,,0.5467,,0.7937,,0.8091,,0.6372,,0.6744,,0.6827
66,750487,,0.8871,,0.6663,,0.7803,,0.8273,,0.7669,,0.5771,,0.8001,,0.7844,,0.6331,,0.6707,,0.685
67,760482,,0.8872,,0.6571,,0.7904,,0.818,,0.7214,,0.5674,,0.8022,,0.7995,,0.6489,,0.6776,,0.667
68,770482,,0.8616,,0.6565,,0.7958,,0.805,,0.6917,,0.5339,,0.7932,,0.7663,,0.6406,,0.6515,,0.6676
69,780483,,0.8706,,0.6343,,0.7972,,0.8043,,0.6971,,0.5436,,0.8029,,0.7816,,0.6337,,0.6626,,0.6672
70,790482,,0.8717,,0.6377,,0.7865,,0.7876,,0.6914,,0.5473,,0.7977,,0.7935,,0.6306,,0.6582,,0.6715
71,800482,,0.8854,,0.6274,,0.7824,,0.7759,,0.699,,0.5428,,0.7873,,0.7955,,0.6353,,0.6608,,0.6569
72,810476,,0.8667,,0.6182,,0.7839,,0.7878,,0.7099,,0.5395,,0.804,,0.8102,,0.645,,0.6675,,0.66
73,820473,,0.8895,,0.6158,,0.806,,0.7852,,0.6784,,0.5437,,0.776,,0.7938,,0.6312,,0.6683,,0.6734
74,830473,,0.8853,,0.6065,,0.7945,,0.7968,,0.7008,,0.5586,,0.7818,,0.7833,,0.6423,,0.6786,,0.6897
75,840474,,0.8686,,0.5921,,0.7883,,0.7882,,0.7074,,0.5555,,0.7567,,0.7781,,0.6496,,0.6672,,0.6697
76,850473,,0.8606,,0.5775,,0.7902,,0.7863,,0.6965,,0.5448,,0.7616,,0.8187,,0.6386,,0.6739,,0.684
77,860472,,0.8596,,0.569,,0.8047,,0.7941,,0.7127,,0.5339,,0.7878,,0.7871,,0.6489,,0.6749,,0.6863
78,870471,,0.8489,,0.5676,,0.8113,,0.8102,,0.7022,,0.5476,,0.7653,,0.7843,,0.6401,,0.6755,,0.657
79,880472,,0.8804,,0.575,,0.799,,0.7952,,0.7055,,0.5485,,0.7747,,0.7702,,0.6319,,0.6576,,0.6825
80,890471,,0.8561,,0.5676,,0.7986,,0.798,,0.7038,,0.5257,,0.7764,,0.7792,,0.6446,,0.6686,,0.6616
81,900470,,0.8521,,0.5675,,0.7994,,0.7847,,0.6931,,0.5298,,0.755,,0.7993,,0.6424,,0.6557,,0.6667
82,910470,,0.8595,,0.571,,0.7929,,0.8082,,0.7211,,0.5298,,0.7585,,0.7773,,0.6246,,0.6685,,0.6879
83,920470,,0.8503,,0.5734,,0.8022,,0.8013,,0.7112,,0.5345,,0.7566,,0.774,,0.6326,,0.6714,,0.6644
84,930470,,0.8414,,0.5587,,0.8121,,0.8065,,0.7056,,0.5255,,0.7617,,0.7709,,0.6389,,0.6648,,0.676
85,940469,,0.8416,,0.5566,,0.7989,,0.8015,,0.7035,,0.5278,,0.7587,,0.7836,,0.6532,,0.6715,,0.677
86,950469,,0.8322,,0.5686,,0.7883,,0.7987,,0.7193,,0.5365,,0.7567,,0.7946,,0.6356,,0.6692,,0.6591
87,960469,,0.8394,,0.5858,,0.8025,,0.7988,,0.7098,,0.5265,,0.7564,,0.7809,,0.6318,,0.6608,,0.6695
88,970468,,0.85,,0.5897,,0.7941,,0.7851,,0.6989,,0.5406,,0.7442,,0.766,,0.6279,,0.6548,,0.6375
89,980468,,0.833,,0.5762,,0.7942,,0.7888,,0.7071,,0.5358,,0.7309,,0.7805,,0.6331,,0.6431,,0.6638
90,990468,,0.8387,,0.5912,,0.8212,,0.7926,,0.704,,0.5353,,0.743,,0.7801,,0.6388,,0.6681,,0.6898
91,1000467,,0.8335,,0.5958,,0.808,,0.7985,,0.7226,,0.5493,,0.7571,,0.7735,,0.6421,,0.6605,,0.6519
92,1010467,,0.8153,,0.6022,,0.81,,0.8045,,0.7076,,0.5372,,0.7457,,0.7691,,0.6417,,0.6692,,0.6734
93,1020468,,0.8243,,0.5978,,0.8035,,0.7884,,0.6927,,0.5435,,0.7498,,0.7843,,0.6426,,0.6586,,0.6812
