Frame,Time (ms),,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity 
17,206249,,0.6853,,0.623,,0.7275,,0.6734,,0.6702,,0.8791,,0.6998,,0.6737,,0.7171,,0.5611,,0.5565,,0.5861,,0.579,,0.5408,,0.5381,,0.5669,,0.7437,,0.5172,,0.5345,,0.8779,,0.6216,,0.7981,,0.6235,,0.5806,,0.5662,,0.7573,,0.558,,0.9601
18,216249,,0.6818,,0.6171,,0.7165,,0.6906,,0.6591,,0.8696,,0.694,,0.6778,,0.7168,,0.5591,,0.5669,,0.5832,,0.5955,,0.5422,,0.5502,,0.5733,,0.7273,,0.4995,,0.5153,,0.9226,,0.6219,,0.809,,0.6017,,0.5844,,0.581,,0.7591,,0.5489,,0.9725
19,226249,,0.6821,,0.6151,,0.7138,,0.7203,,0.6597,,0.8538,,0.7528,,0.6779,,0.7136,,0.5684,,0.5574,,0.5991,,0.5773,,0.5556,,0.5374,,0.5873,,0.7301,,0.5092,,0.5326,,0.9187,,0.6261,,0.821,,0.6126,,0.5855,,0.5732,,0.7497,,0.5508,,0.9317
20,236269,,0.6837,,0.6133,,0.7169,,0.6922,,0.6598,,0.7988,,0.9118,,0.6714,,0.7148,,0.5603,,0.5646,,0.5789,,0.5791,,0.5465,,0.5394,,0.5803,,0.7173,,0.5075,,0.5231,,0.9184,,0.6192,,0.8007,,0.5969,,0.5867,,0.5827,,0.7567,,0.551,,0.8972
21,276283,,0.8786,,1.1665,,1.3224,,1.3388,,1.2559,,1.3696,,0.8797,,1.1217,,0.8511,,1.1783,,0.6502,,0.746,,1.6132,,1.0651,,1.322,,0.6348,,0.7796,,1.6059,,1.3723,,0.784,,0.6905,,1.0638,,1.0706,,1.0031,,1.4986,,1.3115,,1.2118,,0.9262
22,286278,,1.3079,,1.4754,,1.4768,,1.5622,,1.5938,,1.7521,,1.3804,,1.3747,,1.3721,,1.6782,,1.5312,,1.6973,,1.6144,,1.1694,,1.8012,,1.634,,0.9061,,1.8364,,1.8064,,0.8502,,0.6676,,0.9858,,1.11,,1.0206,,1.6832,,1.2578,,1.599,,0.8061
23,296279,,1.2304,,1.4105,,1.7959,,1.5013,,1.4981,,1.8944,,1.5173,,1.3715,,1.6526,,1.5008,,1.3345,,1.5094,,1.3684,,1.1923,,1.612,,1.5832,,1.0065,,2.1624,,1.5714,,0.9383,,0.6603,,0.946,,1.1589,,1.0624,,1.794,,1.3305,,1.4717,,0.8282
24,306277,,1.089,,1.345,,1.7628,,1.503,,1.4511,,1.8036,,1.5277,,1.3413,,1.6322,,1.4616,,1.2377,,1.3533,,1.0633,,1.2,,1.5889,,1.4772,,1.0199,,2.2061,,1.586,,1.0458,,0.6599,,0.9369,,1.1373,,1.0402,,1.7741,,1.3477,,1.4144,,0.7995
25,316277,,1.0404,,1.196,,1.7607,,1.4402,,1.4037,,1.6486,,1.3962,,1.2953,,1.4721,,1.3791,,1.0279,,1.2646,,0.9411,,1.0796,,1.5186,,1.3243,,0.9798,,2.1099,,1.4974,,1.0167,,0.661,,0.9253,,1.081,,0.9992,,1.7026,,1.2747,,1.4937,,0.843
26,326281,,1.0183,,1.24,,1.7387,,1.4421,,1.3139,,1.5139,,1.1696,,1.291,,1.2849,,1.2627,,0.8855,,1.1614,,0.8973,,1.0091,,1.448,,1.2565,,0.9448,,1.9593,,1.4279,,1.0275,,0.6573,,0.9256,,0.9634,,0.9711,,1.5688,,1.2162,,1.3972,,0.8161
