Frame,Time (ms),,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity 
71,738900,,32.9422,,39.7375,,28.6481,,25.1667,,26.9464,,34.1667,,38.5536,,23.6857,,39.8438,,44.625,,46.4375,,58.0505,,47.2698,,49.0469,,27.4167,,25.75,,28.8,,30,,31.5102,,31.8,,28.2143,,17.8889,,15.6,,27.3929,,17.0208,,19.2778,,16.6875
72,748900,,33.5372,,40.175,,28.6111,,25.0208,,27.0893,,33.5926,,39,,23.3429,,39.8438,,43.9583,,46.1875,,58.0909,,47.5079,,48.4844,,27.8611,,25.0313,,27.32,,30,,30.8163,,32.08,,27.3095,,17.7143,,15.725,,28.0714,,17.0208,,19.6111,,17.9375
73,758900,,32.7934,,39.675,,28.7037,,25.0625,,27.4286,,32.7407,,38.5357,,24.7714,,40,,44.3542,,45.9583,,57.7273,,46.873,,48.7656,,28.2222,,27.0625,,28.84,,31.4167,,31.0612,,31.34,,26.881,,17.8095,,15.125,,27.75,,16.6042,,20.4444,,17.3438
74,768899,,33.281,,39.2125,,28.2222,,24.3125,,26.4107,,32.2778,,38.1964,,24.1429,,39.8438,,44.875,,45.625,,57.4343,,47.9048,,47.875,,27.1389,,23.9375,,29.4,,30,,31.1429,,30,,26.9286,,18.4286,,15.4,,26.9286,,17.375,,20.0556,,16.75
75,778899,,32.6777,,39.65,,28.2963,,24.9167,,27.4464,,33.0556,,38.9107,,24.7143,,39.7813,,45.9375,,46.1875,,57.8283,,47.127,,46.9063,,28.5556,,26.1563,,28.32,,30.9167,,30.4694,,31.74,,26.6429,,18.1111,,16.45,,26.8929,,17.4792,,20.6389,,16.7813
76,788899,,33.0496,,40.075,,29.1852,,25.25,,27.1071,,32.9815,,39.0714,,23.9714,,39.6094,,44.5208,,46.4583,,57.2424,,47,,47.0938,,28.8333,,24.5,,29.12,,30.25,,30.5714,,30.76,,28.1905,,17.1111,,15.425,,28.4643,,17.4792,,20.6667,,16.8594
77,801310,,40.4628,,50.7625,,40.3889,,29.75,,33.5714,,38.4815,,38.4821,,30.4857,,47.5,,55.5,,52.0208,,77.5859,,68.4444,,60.3125,,39.6389,,28.4375,,33.68,,39.3333,,36.4286,,44.64,,33.3095,,19.3175,,17.425,,29.9286,,19.1667,,22.8611,,18.5625
78,811179,,44.8017,,54.4875,,43.963,,32.2292,,36.3571,,37.7593,,37.8214,,31.6286,,56.7344,,58.8542,,52.375,,80.8485,,79.0794,,58.4844,,40.9722,,32.9688,,39.48,,41,,41.2449,,47,,35,,19.4127,,17.25,,29.8929,,20.4792,,20.5556,,18.7344
79,821179,,44.0661,,55.6375,,44.6667,,31.375,,35.5357,,38.0556,,39.6607,,31.8857,,59,,59.9792,,52.5417,,81.3838,,80.3492,,58.0313,,41.6667,,32.9688,,40.12,,41.4167,,41.4082,,48.78,,34.4524,,19.3492,,17.6,,30.8214,,20.3125,,21.9722,,18.7813
80,831178,,44.5372,,55.825,,44.5185,,31.7708,,37.2857,,37.3889,,38.7143,,32.7143,,59.5469,,59.3542,,53.375,,82.1616,,80.9841,,57.7344,,42.25,,33.375,,38.8,,43.5,,43.3061,,47.94,,34.6429,,19.5714,,17.95,,29.1071,,20.5625,,21.8333,,18.8125
81,841178,,44.124,,56.8375,,44.6852,,32.5625,,36.2143,,38.4074,,38.5893,,33.7714,,59.375,,60.375,,52.5833,,83.8182,,79.0794,,58.0625,,44.5833,,33.7813,,39.8,,42.9167,,43.2245,,47.36,,34.4762,,19.7937,,18,,30.3571,,20.2083,,21.6111,,18.875
82,851177,,44.157,,55.925,,45.537,,32.5417,,36.125,,38.0741,,38.6786,,32.4286,,59.4219,,60.6667,,53.4792,,83.3737,,79.3333,,57.2813,,43.5278,,33.8438,,41.32,,44.1667,,43.898,,47.86,,34.4762,,19.6032,,16.975,,29.6786,,20.6042,,21.2222,,18
83,861177,,43.7769,,56.9375,,44.3889,,31.9375,,36.375,,37.6296,,37.9821,,32.5143,,60.3906,,61.3958,,54.5417,,83.5354,,79.5079,,57.75,,43.1667,,34,,39.08,,42.0833,,44.2857,,47.4,,34.5,,19.5238,,16.95,,29.5714,,20.0208,,21.1389,,18.7969
