Frame,Time (ms),,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity 
17,172009,,11.6769,,13.7876,,13.0456,,11.4436,,11.3356,,13.0368,,12.3553,,12.8221,,10.8751,,10.9319,,10.6939,,13.9376,,10.2847,,12.1043,,11.9047,,10.8678,,12.0101,,11.9868,,13.3342,,12.4552,,13.8137,,12.5827,,14.5255,,11.9685,,13.8619,,12.5165,,11.9865,,12.7904
18,182009,,11.5309,,12.0995,,12.7887,,10.9992,,11.1019,,11.8157,,10.7984,,12.3626,,11.2906,,10.7602,,10.6875,,14.2002,,10.1459,,11.9959,,12.8909,,11.0845,,12.1734,,11.8362,,11.4549,,12.9934,,13.7141,,11.2431,,15.3377,,11.5257,,13.2295,,12.0125,,11.6138,,12.6329
19,192009,,11.67,,11.3447,,12.62,,11.1718,,10.8269,,12.4221,,11.5425,,12.432,,11.1554,,11.6643,,10.8181,,12.8869,,10.0253,,11.5476,,13.0666,,10.5304,,11.9034,,12.1635,,11.2456,,12.447,,13.0776,,12.8667,,13.7332,,12.0885,,13.7868,,12.711,,12.1798,,14.1841
20,202009,,12.9718,,11.2339,,12.8729,,10.239,,10.8771,,12.2329,,11.7296,,12.3018,,11.187,,12.0422,,10.5913,,13.1104,,10.0449,,11.0196,,11.9592,,11.1342,,12.2941,,12.3574,,11.7607,,20.3705,,14.4591,,11.5102,,14.9133,,12.0217,,15.0388,,12.6258,,11.5239,,12.9385
21,212008,,11.061,,11.5901,,13.3505,,10.0322,,11.0939,,11.1166,,12.1284,,10.905,,11.1782,,11.1148,,10.8222,,13.3395,,9.7629,,11.436,,11.9731,,11.1097,,12.2267,,12.5978,,12.5011,,14.1161,,20.1972,,11.8063,,15.2789,,11.8972,,13.5638,,12.3732,,11.8975,,12.7875
22,222009,,11.9395,,11.0894,,14.0049,,10.2692,,11.7961,,12.0624,,12.1213,,12.9694,,11.0618,,11.087,,12.2467,,17.8632,,10.5489,,11.8981,,12.9314,,12.7272,,13.2685,,13.6731,,11.6459,,12.5067,,15.0367,,13.7009,,19.8047,,11.1277,,15.2995,,12.271,,11.7055,,12.8732
23,293037,,13.4193,,13.4465,,14.1768,,12.1036,,10.7619,,12.0887,,10.9517,,12.4639,,11.715,,11.4583,,11.1477,,17.781,,10.2083,,12.0932,,10.9402,,11.7079,,12.5054,,13.894,,11.7159,,12.5121,,17.6469,,12.0081,,14.5976,,11.2866,,18.7159,,11.2682,,11.6703,,12.759
24,303021,,14.0903,,11.4706,,13.1674,,11.5176,,11.6558,,14.2047,,10.7602,,12.983,,11.5411,,11.0556,,11.201,,16.4507,,10.6259,,12.283,,11.9768,,11.5563,,12.8656,,12.3501,,12.3336,,14.5326,,17.881,,14.0789,,15.2136,,11.4959,,15.9923,,11.4823,,12.0069,,12.2543
25,313021,,13.3622,,11.6765,,13.3501,,12.1034,,10.7934,,11.8467,,11.2628,,12.3085,,11.0709,,11.0538,,10.8485,,15.3724,,10.2065,,11.7454,,12.4106,,11.6976,,12.1744,,12.197,,12.8077,,17.5433,,15.7482,,13.9511,,13.9392,,11.4778,,14.5143,,12.8354,,11.638,,13.3445
26,323020,,12.0925,,10.7926,,13.6844,,9.8449,,11.5705,,11.7539,,11.0548,,13.1333,,11.1458,,10.4138,,10.8221,,16.0527,,10.0149,,11.7778,,11.7995,,11.2348,,12.0169,,12.8955,,11.9503,,13.6319,,16.2738,,13.0834,,15.3495,,11.0015,,13.6992,,12.6062,,11.1426,,14.096
27,333022,,12.5734,,11.5677,,14.1003,,10.627,,10.3593,,13.2186,,10.8725,,11.2915,,11.2523,,10.9669,,11.1685,,14.91,,10.322,,11.4404,,12.5917,,11.3619,,12.7481,,12.0906,,12.1355,,11.6716,,15.2906,,12.0814,,14.2674,,12.1114,,14.3049,,11.6704,,11.8641,,13.5397
28,343020,,12.5976,,12.1349,,12.8943,,10.3504,,10.9504,,10.8035,,11.6035,,12.7725,,11.4684,,11.4634,,10.9467,,16.3033,,10.2535,,12.3612,,12.6082,,11.4292,,12.4629,,12.7795,,11.4465,,12.1924,,15.4243,,11.6753,,15.2108,,10.8843,,14.2199,,12.1506,,11.6054,,12.4516
