Frame,Time (ms),,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity 
0,0,,16.5781,,17.8148,,15.4846,,12.06,,14.5938,,15.0143,,13.5306,,18.5208,,20.0156,,21.6667,,22.4286,,20.8,,20.225,,16.619,,19.72,,18.4545,,21.8594,,21.0238,,19.2857,,17.175,,18.4875,,10.8929,,12.3884,,13.7551,,20.2308,,23.6905,,19.675,,14.4848
1,10249,,15.7344,,17.3333,,16.0077,,12.64,,14.1406,,14.6571,,12.4286,,18.6042,,20.375,,22.2619,,22.1746,,19.7333,,20.8,,16.9762,,19.08,,18.3939,,21.9375,,20.119,,20.2321,,17.0375,,18.45,,10.875,,13.3306,,14.5714,,20.2923,,23.1905,,19.1875,,14.5303
2,21027,,15.1719,,17.4074,,15,,12.3,,14.9063,,14.1286,,12.8367,,18.1458,,20.1875,,22.1667,,21.4762,,20.6333,,20.6,,16.119,,18.56,,19.0909,,21.4063,,20.5952,,18.625,,16.0125,,18.1,,10.625,,13.4132,,14.0204,,20.0231,,23.3333,,19.475,,15.0152
3,31014,,15.0938,,17.1667,,15.2077,,12.1,,14.4063,,14.1714,,12.2653,,17.8333,,19.6719,,21.6667,,22.127,,19.6,,21.675,,17.4762,,20.04,,18.8333,,22.1719,,20.7381,,18.9821,,16.8625,,19.05,,10.5,,12.8099,,14.7755,,20.2308,,23.0952,,19.7875,,14.7803
4,41014,,15.5625,,18.2407,,15,,11.72,,14.5625,,14.7429,,12.8571,,17.7917,,20.1406,,21.4286,,23.1905,,20.3,,20.75,,16.7381,,19.56,,18.7879,,22.0625,,19.9286,,19.7143,,16.925,,18.85,,10.5179,,12.6694,,13.6122,,19.6462,,22.7619,,19.525,,14.75
5,51014,,16.625,,17.0185,,15.7077,,12.82,,14.0313,,14.8286,,13.4082,,18.25,,20.5313,,21.1905,,21.6667,,20.7,,19.6,,17.3333,,17.92,,19.1515,,21.9844,,21.0952,,18.8571,,17.175,,19.15,,11.5179,,12.8843,,15.0204,,20.8077,,22.9048,,19.475,,14.4621
6,61015,,16.125,,17.4815,,15.0231,,12.78,,14.6406,,14.6,,13.5714,,18.1458,,19.9219,,21.7619,,22.3175,,20.2,,19.925,,17.3095,,18,,19.1818,,21.5938,,21.2619,,19.6607,,16.9625,,19.025,,10.9286,,12.3471,,14.6327,,20.1077,,22.6429,,19.625,,14.3485
7,71013,,15.0625,,17.9444,,15.2385,,12.14,,14.8906,,14.3286,,13.3878,,18.5417,,19.9375,,22.0238,,23.2063,,20.7667,,19.9,,17.6429,,18.92,,19.0909,,21.9531,,21.0476,,19.6429,,17.45,,18.525,,10.8929,,12.314,,14.3878,,19.6846,,23.119,,19.6375,,14.7273
8,81013,,16.25,,17.1111,,15.4077,,12.98,,14.7031,,13.8,,13.1633,,17.7292,,20.2656,,21.8333,,22.9841,,20.7333,,21.45,,17.9524,,17.88,,19.4848,,21.6094,,20.5952,,19.2321,,16.3375,,18.8125,,11.125,,12.9339,,14.2653,,20.8,,24.3095,,19.8125,,14.9621
9,91013,,15.3125,,17.8148,,16.0692,,13.02,,15.1719,,14.6143,,13.7551,,18.9375,,19.8438,,21.6905,,22.4286,,20.7,,20.25,,17.9762,,20,,18.7424,,22.1094,,20.2619,,20.1607,,16.1375,,18.7875,,11.1607,,12.7521,,14.1429,,20.0923,,24.5952,,19.5125,,14.9091
