Frame,Time (ms),,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity 
17,171181,,7.9468,,12.6583,,12.1111,,12.0418,,16.0184,,17.7381,,11.1866,,9.6293,,11.0936,,10.1281,,9.1257,,8.6945,,8.8568,,8.7243,,8.98,,7.1415,,8.5827,,8.2554,,10.2746,,13.1156,,7.4136,,11.7329,,10.726,,10.4687,,10.812,,10.2907,,10.4512
18,181180,,7.9634,,11.5422,,11.2637,,11.7826,,15.5634,,15.9052,,11.6958,,9.0679,,10.7353,,9.5219,,9.2357,,8.6376,,8.602,,8.6604,,8.5128,,7.0054,,8.5813,,8.6293,,9.9174,,11.5143,,7.2919,,11.2635,,11.0832,,10.147,,13.4029,,12.0225,,10.3624
19,191180,,7.9671,,11.5919,,11.3697,,11.8029,,13.6664,,17.5652,,12.6305,,8.8344,,9.9858,,9.1769,,8.7662,,8.5982,,8.3684,,8.6358,,8.6723,,6.9676,,8.5673,,8.485,,9.5417,,11.058,,7.3851,,11.5574,,12.74,,11.8354,,11.141,,13.1868,,11.3011
20,201180,,7.7948,,10.7798,,11.0148,,11.3164,,12.3786,,13.7222,,11.7339,,8.8295,,9.5742,,9.1625,,8.6495,,8.5528,,8.0584,,8.4598,,8.5087,,6.94,,8.4353,,8.1114,,9.1321,,10.6176,,7.3503,,10.8502,,13.156,,11.1976,,10.5191,,9.7792,,11.4925
21,211179,,7.8767,,10.5622,,10.3916,,10.5155,,12.1511,,14.8741,,10.82,,8.9802,,9.0667,,9.2901,,9.1812,,8.3844,,7.9499,,8.5595,,8.4298,,7.0499,,7.8732,,8.4602,,9.0023,,10.3171,,7.6782,,10.926,,11.3424,,11.0065,,10.6276,,10.9243,,11.0733
22,221179,,7.8472,,10.4348,,10.2736,,10.3689,,12.0632,,15.2642,,11.891,,9.5134,,8.7954,,9.2125,,9.1298,,8.323,,7.7388,,8.5068,,8.1686,,7.1737,,8.3832,,8.4759,,9.2594,,10.3907,,7.2906,,11.595,,15.4668,,10.0201,,11.502,,11.8004,,10.0494
23,231178,,7.7035,,10.2082,,9.6,,10.56,,11.2549,,14.262,,11.5752,,8.8012,,8.654,,8.7713,,8.8438,,8.2601,,7.905,,8.5767,,8.091,,6.9951,,8.5001,,7.8939,,8.9036,,10.1955,,7.3136,,12.3635,,11.4792,,10.7682,,11.378,,10.1481,,10.5635
24,241178,,7.7257,,9.8476,,9.9403,,9.7654,,11.2601,,13.6474,,11.9666,,9.5969,,8.3714,,8.8129,,8.8544,,8.2818,,7.5451,,8.4359,,8.8119,,6.774,,7.9162,,7.4633,,8.6181,,9.8526,,7.2604,,11.4766,,12.8784,,11.1161,,10.2226,,10.7427,,11.0163
25,251178,,7.6463,,9.6545,,9.6824,,9.5648,,11.5279,,13.6488,,11.683,,8.8096,,8.4109,,8.5004,,9.1458,,8.1261,,7.627,,8.378,,7.845,,6.8225,,8.091,,7.697,,8.9671,,9.3708,,7.1338,,11.9652,,12.1174,,9.9605,,9.7883,,9.8733,,10.9264
26,269726,,7.888,,9.9182,,10.4564,,10.3165,,10.6314,,15.4561,,30.492,,8.9945,,8.3728,,8.5919,,8.6269,,8.2214,,7.4819,,8.2328,,8.4321,,6.8439,,8.2202,,7.8229,,8.881,,9.1823,,7.271,,11.1497,,12.4436,,12.1901,,11.3245,,11.9614,,10.5372
27,279723,,7.7124,,9.4793,,19.8797,,10.0204,,10.5636,,14.7618,,26.7627,,9.4998,,8.3925,,8.7809,,8.5489,,8.4408,,7.4427,,8.3922,,12.6679,,6.8762,,7.9152,,7.5017,,8.5506,,9.5053,,7.0183,,10.961,,10.8203,,21.0435,,10.7404,,10.9409,,11.2177
28,289723,,7.9229,,10.1788,,10.9507,,10.2283,,10.3502,,16.1442,,21.5698,,10.172,,8.463,,8.6342,,8.9158,,8.034,,7.6123,,8.1808,,10.2803,,7.0623,,8.2807,,8.01,,8.4847,,9.5184,,7.586,,10.8687,,14.5176,,26.6353,,11.6828,,14.4037,,11.5659
29,299723,,8.0065,,10.2537,,10.1405,,9.892,,10.5875,,13.581,,18.7863,,9.4364,,8.345,,8.5068,,8.7018,,8.3189,,7.5381,,8.3331,,9.1549,,6.9511,,8.4074,,8.4149,,8.4699,,9.5391,,7.4213,,11.1171,,11.2424,,17.4484,,11.2083,,10.7782,,9.8143
30,309723,,7.6637,,10.3459,,9.7009,,10.7318,,11.1911,,15.1919,,19.7242,,9.5631,,8.2024,,8.704,,8.7373,,8.2688,,7.5489,,8.4083,,9.0351,,6.8739,,8.0485,,7.7588,,8.5416,,9.6532,,7.2592,,11.2598,,11.3371,,13.9743,,10.2083,,11.0061,,12.8422
31,319721,,7.9519,,9.8387,,9.102,,10.3062,,10.068,,13.7213,,19.0547,,9.1202,,8.1892,,8.6587,,8.821,,8.2698,,7.5427,,8.3257,,8.3843,,6.9474,,8.1049,,8.0438,,8.7743,,9.4487,,7.6951,,12.7556,,10.7138,,16.0717,,13.129,,12.917,,11.6748
32,329722,,8.01,,9.9711,,9.8357,,10.7956,,11.66,,14.7966,,21.9834,,9.3483,,8.2394,,8.5639,,8.8692,,8.2885,,7.5292,,8.4398,,8.3536,,7.0488,,8.1763,,7.9471,,8.3688,,9.8455,,7.1424,,11.4833,,12.504,,12.3092,,10.2627,,12.381,,11.2472
33,339721,,7.9381,,9.9225,,9.7673,,9.9512,,11.0482,,15.0584,,19.3584,,9.0737,,8.132,,8.763,,8.9944,,8.3055,,7.6644,,8.2208,,8.5067,,6.9788,,8.0398,,7.8371,,8.5732,,9.5817,,7.3875,,11.7247,,13.4617,,14.1734,,11.5913,,11.6402,,12.6662
34,349721,,7.9236,,10.0074,,9.3356,,10.6306,,10.5674,,13.7905,,19.8243,,9.5226,,8.3053,,9.039,,8.7916,,8.3842,,7.6025,,8.435,,8.2655,,7.0354,,8.3244,,7.5915,,8.3238,,9.6424,,7.4608,,12.7204,,11.582,,14.2344,,10.33,,11.0931,,10.5347
35,359721,,7.934,,10.1675,,9.8378,,9.9706,,10.5054,,14.6927,,19.0836,,9.6819,,8.0533,,8.9628,,8.8026,,8.3647,,7.5526,,8.5497,,8.3376,,6.8188,,7.9617,,7.3126,,8.5907,,9.6995,,7.6417,,13.225,,13.291,,13.7644,,10.4749,,12.9711,,11.0477
36,369721,,7.9787,,10.2702,,9.7939,,9.8454,,11.1044,,16.3716,,17.2047,,9.37,,8.3698,,8.6615,,9.4144,,8.3805,,7.4628,,8.7042,,8.5631,,7.1095,,8.5489,,8.0211,,8.8149,,9.6303,,7.225,,11.6694,,10.6369,,12.7621,,10.1107,,11.1636,,11.2957
37,379720,,7.9299,,10.1783,,9.2102,,10.2245,,10.2421,,18.0286,,16.9323,,8.9259,,8.2278,,8.6562,,9.0326,,8.255,,7.6273,,8.4925,,8.2365,,7.1965,,8.0162,,7.533,,8.5664,,9.8805,,7.7978,,11.2592,,11.3959,,11.7587,,10.7831,,13.7882,,12.1714
38,389722,,7.8703,,10.0156,,9.4719,,10.4711,,11.2033,,16.8941,,16.689,,9.3382,,8.3072,,8.6581,,9.029,,8.537,,7.4963,,8.4303,,8.4687,,7.0024,,8.2082,,8.1973,,8.4761,,9.4619,,7.6516,,11.1893,,14.0594,,12.0711,,11.5252,,12.2755,,10.4616
39,408772,,35.0573,,31.9864,,33.2756,,42.8546,,31.4077,,30.4501,,23.0103,,35.427,,38.5303,,30.3379,,31.4864,,34.6714,,34.0677,,27.4944,,31.6912,,20.1499,,37.6609,,26.5353,,38.1107,,34.5349,,35.6388,,51.7908,,35.9781,,14.1246,,46.0356,,12.2269,,14.286
40,418765,,23.1762,,21.8827,,24.2522,,29.6571,,23.729,,27.3347,,35.6456,,24.3556,,30.5707,,21.2683,,22.149,,27.2754,,25.9356,,19.1378,,22.6117,,14.0945,,24.7278,,19.2667,,23.7042,,24.3509,,21.227,,33.6085,,27.8361,,14.4807,,26.8092,,12.6937,,12.5191
41,428765,,17.8909,,19.6548,,20.6863,,21.8813,,19.0097,,23.2093,,23.5227,,27.0912,,25.0674,,18.1092,,17.7451,,23.0828,,21.1472,,16.1165,,18.3696,,12.1166,,18.6619,,16.0914,,19.4868,,22.1118,,16.5512,,29.0839,,31.999,,16.5414,,21.2842,,12.0648,,14.5082
42,438766,,15.6459,,17.5056,,17.9764,,23.458,,18.2364,,23.9473,,22.8516,,24.9028,,20.6606,,17.1256,,16.471,,19.8693,,18.5549,,14.7135,,17.5563,,10.1116,,17.0006,,14.5914,,17.0378,,19.5857,,15.1788,,25.4497,,22.0536,,13.7216,,18.778,,12.7239,,12.4589
43,448763,,14.7902,,17.0208,,16.282,,18.9526,,21.2725,,20.4965,,19.8797,,22.0484,,18.7949,,16.7228,,16.1048,,18.3112,,17.0621,,14.4845,,15.6685,,9.9551,,14.7828,,15.8656,,15.0445,,18.3814,,14.8248,,22.9924,,23.7457,,12.8289,,19.9674,,11.9818,,13.1653
44,458764,,14.7457,,15.8205,,16.6962,,20.7423,,17.0454,,20.7757,,18.527,,22.5694,,16.9674,,15.1667,,15.2824,,16.8563,,16.3076,,13.6468,,15.6826,,9.0256,,14.4804,,13.6702,,14.3834,,18.586,,14.1016,,21.885,,28.2288,,13.4498,,18.9807,,12.0259,,12.1768
45,468764,,13.9257,,15.8726,,16.6379,,20.5258,,16.1487,,21.2721,,21.6703,,21.1905,,16.8297,,14.6392,,14.7073,,16.8596,,15.5384,,13.2855,,14.4357,,8.6164,,13.762,,12.9755,,13.55,,17.1787,,13.0442,,20.1614,,30.373,,13.0832,,16.6845,,12.1406,,11.5142
46,478764,,14.1203,,15.7189,,15.2789,,18.0056,,18.1424,,20.7217,,19.2262,,21.4256,,16.0984,,14.0619,,14.2523,,15.8126,,15.1426,,12.901,,13.8591,,8.7519,,13.0152,,13.3922,,13.8812,,17.403,,13.2734,,18.8666,,20.7735,,13.6869,,18.982,,15.0505,,11.3937
47,488763,,14.2092,,15.1516,,15.4714,,17.072,,16.7506,,21.098,,16.7701,,20.4708,,15.8035,,14.0898,,14.5936,,15.6163,,14.7195,,13.3384,,14.2993,,8.3424,,13.6458,,12.7669,,13.8794,,16.1772,,12.1989,,20.4191,,21.5793,,14.1463,,18.8707,,10.7056,,13.3011
48,498763,,14.1689,,15.2227,,15.6932,,18.4929,,16.437,,21.3554,,16.547,,22.1018,,15.0745,,13.9407,,14.307,,15.7617,,14.4717,,13.4849,,14.3532,,8.3861,,13.5207,,12.7303,,13.5922,,16.5155,,12.3962,,17.7915,,23.3709,,11.9439,,17.6371,,12.163,,10.8336
49,508762,,13.9309,,15.3988,,14.9616,,17.0968,,16.5474,,22.5012,,14.4383,,21.841,,15.3951,,14.0792,,14.7277,,15.5726,,14.6377,,12.8221,,13.3629,,8.6334,,13.7471,,12.3161,,13.3318,,16.8165,,12.6397,,19.9217,,23.2418,,14.4496,,18.7308,,11.9272,,14.3149
50,518762,,13.9788,,15.5532,,15.4532,,17.6977,,17.3137,,25.338,,15.2468,,19.4691,,14.9179,,13.8158,,14.2478,,15.2551,,13.9962,,13.1719,,12.619,,8.2421,,13.2346,,13.122,,13.4373,,16.7899,,12.4667,,18.5734,,20.1595,,16.719,,17.246,,11.5222,,12.5006
51,528761,,14.2443,,14.9806,,15.3272,,19.0755,,18.2402,,23.9258,,13.9536,,19.038,,15.2012,,13.4505,,14.8214,,14.9902,,14.2455,,13.2977,,12.8471,,8.3205,,13.8232,,13.2604,,13.5661,,17.4725,,12.8221,,17.442,,20.8724,,14.7274,,16.982,,13.0079,,13.5608
52,538761,,13.6184,,14.5134,,15.2913,,16.8538,,15.9032,,19.7709,,12.5822,,19.9525,,14.807,,13.6451,,14.3918,,14.9785,,14.055,,12.8437,,13.0336,,8.7115,,13.4645,,13.9758,,13.1599,,16.02,,13.2059,,18.947,,23.9309,,12.1704,,16.8771,,10.6748,,12.2393
53,556260,,13.3837,,14.5755,,16.3435,,17.4425,,16.5744,,18.2605,,13.0593,,20.2916,,15.1024,,13.6326,,14.0613,,15.0995,,14.1869,,13.1481,,12.5411,,8.7807,,14.093,,14.4946,,13.7459,,16.6807,,12.8948,,22.8806,,22.8266,,14.123,,18.2473,,12.924,,16.5809
54,566244,,13.8446,,14.2778,,15.256,,17.1951,,17.6714,,20.0868,,12.9772,,18.9949,,15.1102,,13.9705,,14.4027,,15.2559,,14.3367,,13.3014,,12.4551,,8.8594,,13.2393,,12.3842,,13.8487,,16.5539,,13.3216,,18.1569,,26.9496,,11.2846,,24.1949,,13.9748,,13.1623
55,576227,,13.9524,,14.832,,15.4793,,17.4772,,16.2549,,20.3706,,13.4754,,18.1189,,15.6364,,13.4342,,14.7967,,15.0155,,14.0664,,13.4125,,13.1737,,8.6031,,13.0145,,13.9788,,14.5588,,16.2531,,12.7268,,23.418,,19.3785,,11.8878,,19.1873,,10.9192,,13.7902
56,586227,,13.636,,14.6687,,14.7536,,17.218,,16.5416,,19.7028,,12.788,,18.5621,,14.9097,,13.6724,,14.1793,,15.0284,,13.9021,,13.2398,,12.3881,,8.8601,,13.2972,,12.9946,,13.5975,,15.1931,,13.1706,,19.2367,,23.5978,,12.2348,,17.634,,13.0901,,13.8156
