Frame,Time (ms),,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity 
0,0,,17.4167,,18.5556,,16.1944,,18.25,,17.0612,,14.4583,,15.51,,14.5,,17.7619,,18.7321,,20.4074,,17.873,,12.6222,,13.2338,,14.5,,14.1964,,12.1429,,12.1429,,12.1111,,11.2593,,12.9,,9.4603,,13.6162,,13.125,,11.8889,,12.7909,,12.2111,,11.4167
1,10242,,17.4375,,18.2,,16.4444,,17.0714,,16.2245,,13.6389,,14.96,,14.1111,,17.619,,18.1786,,20.4352,,17.4286,,12.6667,,12.8571,,14.5729,,13.5,,12.6939,,11.6429,,12.1944,,10.4691,,13.55,,9.0952,,13.0505,,12.5938,,12.2083,,11.9545,,12.1889,,10.9792
2,20243,,17.1042,,18.2889,,15.7222,,17.4286,,17.1633,,14.0139,,14.55,,14.6944,,17.1111,,18.1071,,20.1111,,17.7619,,11.9778,,12.3896,,15.1771,,13.8036,,12.2449,,12.6143,,12.2222,,11.037,,13.2,,9.381,,13.3636,,12.2188,,12.1111,,12.5727,,12.5778,,11.1458
3,30241,,16.6458,,18.7778,,16.3056,,17.4107,,17.0612,,13.9028,,15.13,,14.6389,,17.8413,,18.125,,19.8889,,17.6667,,12.0889,,12.3506,,14.4688,,12.6071,,11.5306,,12.4286,,11.7361,,10.9136,,13.0125,,8.7937,,12.8586,,13.0156,,12.2917,,11.8545,,11.6,,10.9583
4,40337,,16.9167,,19,,16.7778,,18.0179,,17.6939,,13.75,,15.03,,14.5556,,18.4444,,17.1071,,20.0093,,17.5238,,12.9111,,12.5714,,15.0417,,14.1071,,12.449,,12.0143,,12.4028,,10.321,,13.25,,9.3016,,13.2525,,12.9531,,12.1389,,12.4455,,11.8667,,11.1458
5,50241,,17.3958,,18.5111,,16.8056,,18.6429,,16.2857,,14.1389,,15.34,,13.6667,,18.0476,,18.1607,,20.0463,,17.7778,,12.1111,,12.7532,,14.7917,,13.9643,,11.9796,,12.5571,,12.7083,,10.5926,,13.8125,,8.8095,,14.0404,,12.7813,,11.7778,,11.7455,,12.1778,,10.0833
6,60241,,17.0208,,18.1778,,16.3333,,18.125,,17.5102,,13.6944,,15.11,,15.125,,17.0794,,18.125,,19.4815,,17.6825,,13.5111,,13.5714,,14.5104,,13.875,,12.2041,,12.9143,,12.7778,,10.9383,,13.2,,9.6508,,13.5152,,13.5156,,12.2083,,12.6,,11.9778,,11
7,70240,,17.6875,,18.6667,,16,,17.9643,,16.2449,,13.2361,,15.39,,14.4444,,16.619,,17.5536,,19.9259,,17.6032,,12.6,,12.4416,,15.1667,,13.4821,,12.0204,,12.7143,,11.625,,10.8519,,13.5625,,8.6825,,12.8586,,13.3438,,11.8472,,12.2455,,11.8778,,10.625
8,80240,,17.0208,,18.3111,,16.7778,,17.4643,,16.8571,,13.9722,,15.51,,15.4861,,17.2381,,18.2321,,19.787,,17.127,,11.9778,,13.5455,,15.2083,,13.9286,,12.1633,,12.7286,,12.2639,,11.4691,,13.125,,9.6825,,13.8182,,13.1875,,11.8611,,12.3545,,11.4333,,11.5
9,90240,,17.0625,,18.6444,,15.8889,,18.3393,,17.4082,,13.9583,,15.17,,14.6806,,17.3175,,17.7143,,19.9537,,17.8254,,13.1778,,12.7922,,14.4896,,13.6786,,12.6939,,12.8571,,11.9722,,11.1605,,12.7875,,8.9048,,12.7879,,13.5,,12.2639,,12.3182,,11.5222,,10.8542
