Genotype,Stimulant,Peak_Index,Peak_Time,Peak,Delta_Ca,Time_to_Peak,AUC,Duration,Max_Upstroke,Max_Downstroke,Repolarisation_Slope
Hom,Glutamate,23,296.279,1.7282,0.7282,295.472,216.81619141666678,159.99199999999996,0.035817909,-0.009940994,-0.004390286
Hom,Glutamate,22,286.278,1.4845,0.48449999999999993,285.471,122.63015377878774,150.02599999999998,0.069674837,-0.022217778,-0.007173279
Hom,Glutamate,22,286.278,1.7667,0.7666999999999999,285.471,320.4533012590908,209.99,0.034577288644322135,-0.010272054,-0.003461486
Hom,Glutamate,11,111.611,1.0133,0.0133,110.804,13.594649278787871,284.662,0.037043704,-0.026752675,-0.002045301
Hom,Glutamate,14,176.268,0.9509,-0.0491,175.461,15.924694072727267,405.467,0.032003200320032024,-0.024357564,0.005378609
Hom,Glutamate,13,131.611,0.5713,-0.4287,130.804,0.9109258242424259,395.469,0.000839916,-0.048160736,0.009290782
Hom,Glutamate,23,296.279,1.2078,0.20779999999999998,295.472,85.49691157878776,159.99199999999996,0.021650825412706347,-0.0088,-0.002330776
Hom,Glutamate,23,296.279,0.9217,-0.0783,295.472,41.70854294696973,464.65700000000004,0.006483242,-0.005730573,-0.001220905
Hom,Glutamate,24,306.277,2.0737,1.0737,305.46999999999997,438.7676825848485,89.993,0.042985701,-0.01746,-0.011761351
Hom,Glutamate,22,286.278,1.5786,0.5786,285.471,115.65047382424248,109.99799999999999,0.090675338,-0.014684126,-0.006869742
Hom,Glutamate,22,286.278,1.8455,0.8454999999999999,285.471,204.67063373787886,139.99,0.038589294647323635,-0.014791479,-0.005601634
Hom,Glutamate,22,286.278,1.6754,0.6754,285.471,216.83928441212123,209.99,0.031735868,-0.012617477,-0.00406246
Hom,Glutamate,23,296.279,1.3814,0.38139999999999996,295.472,229.49188999393937,109.993,0.014702354,-0.013281328,-0.005860788
Hom,Glutamate,23,296.279,1.2466,0.24659999999999993,295.472,91.94503544242426,110.00799999999998,0.035257629,-0.011465414,-0.005013
Hom,Glutamate,46,520.811,1.7313,0.7313000000000001,518.648,171.5436815363635,170.63399999999996,0.08055,-0.037223722,-0.006600969
Hom,Glutamate,46,520.811,1.6149,0.6149,518.648,196.4658473545454,240.63299999999998,0.07525,-0.030233959,-0.00319766
Hom,Glutamate,46,520.811,1.5143,0.5143,518.648,102.8445758757575,170.63399999999996,0.06271,-0.021257154,-0.005952235
Hom,Glutamate,46,520.811,1.4215,0.4215,518.648,120.91412848484858,240.63299999999998,0.059759999999999994,-0.016256652,-0.003224035
Hom,Glutamate,46,520.811,1.3044,0.3044,518.648,99.24749698484855,230.63299999999998,0.044930000000000005,-0.014961342,-0.003143487
Hom,Glutamate,46,520.811,1.3452,0.34519999999999995,518.648,156.7021199151515,240.63299999999998,0.05206,-0.014341434,-0.001845508
Hom,Glutamate,23,260.138,0.6728,-0.3272,257.97499999999997,171.68128903333348,428.542,0.003960396,-0.002220222,-0.000587023
Hom,Glutamate,46,520.811,1.603,0.603,518.648,161.6792761090909,210.63399999999996,0.07684,-0.026012601,-0.005296738
Hom,Glutamate,46,520.811,1.5347,0.5347,518.648,151.77593889393935,120.66000000000003,0.06794,-0.020996084,-0.006517924
Hom,Glutamate,46,520.811,1.5062,0.5062,518.648,164.63769175454556,130.64500000000004,0.06108,-0.021939954,-0.006011821
Hom,Glutamate,46,520.811,1.5111,0.5111000000000001,518.648,140.81864177272737,210.63399999999996,0.07093,-0.046008635,-0.005269248
Hom,Glutamate,15,180.14,0.5628,-0.4372,177.97699999999998,312.1900046666666,377.972,0.002489906,-0.00171,-0.000136979
Hom,Glutamate,46,520.811,1.1043,0.10430000000000006,518.648,82.28560831818183,220.63299999999998,0.029559999999999996,-0.018566121,-0.004418007
Hom,Glutamate,47,530.77,1.519,0.5189999999999999,528.607,203.24525424848477,110.637,0.045084848,-0.052935294,-0.008163769
Hom,Glutamate,46,520.811,1.196,0.19599999999999995,518.648,18.101389351514996,120.66000000000003,0.05051,-0.011408859,-0.004567387
Hom,Glutamate,46,520.811,1.2408,0.2407999999999999,518.648,32.796101724242604,160.63399999999996,0.04849,-0.018977809,-0.003246256
Hom,Glutamate,46,520.811,1.0127,0.012699999999999934,518.648,12.250523790909101,240.63299999999998,0.028270000000000007,-0.014479365,-0.001301809
Hom,Glutamate,46,520.811,1.3533,0.35329999999999995,518.648,76.48458999999997,150.63500000000005,0.04504,-0.041098504,-0.005764154
Hom,Glutamate,45,480.132,0.9983,-0.0017,477.969,18.610413381818102,230.63299999999998,0.02609,-0.015935335,-0.001193412
Hom,Glutamate,46,520.811,1.2135,0.21350000000000002,518.648,106.84097847878792,240.63299999999998,0.046819999999999994,-0.014479365,-0.003174275
Hom,Glutamate,46,520.811,1.3825,0.38250000000000006,518.648,97.33474549999991,200.63299999999998,0.05286,-0.021452145,-0.004357196
Hom,Glutamate,46,520.811,1.3005,0.3005,518.648,-8.445250797,160.63399999999996,0.04836,-0.024882016,-0.003790087
Hom,Glutamate,46,520.811,1.0969,0.0969,518.648,-39.52999117,140.656,0.04589,-0.016718546,-0.003238928
Hom,Glutamate,46,520.811,1.3428,0.3428,518.648,45.49314037575758,180.63299999999998,0.05958,-0.03169997,-0.004110156
Hom,Glutamate,46,520.811,1.3273,0.3272999999999999,518.648,61.711104430303095,60.637,0.02186,-0.030183753,-0.006284072
Hom,Glutamate,23,260.138,0.8606,-0.1394,257.97499999999997,136.73196836060606,428.542,0.018011801180118074,-0.009879012,-0.002228125
Hom,Glutamate,23,260.138,0.9672,-0.0328,257.97499999999997,89.89167896969684,218.52700000000002,0.027322732273227412,-0.018388161,-0.003015128
Hom,Glutamate,46,520.811,1.2489,0.2488999999999999,518.648,111.74263611212106,150.63500000000005,0.04858,-0.014399036,-0.003708559
Hom,ATP,46,520.811,1.7313,0.7313000000000001,518.648,171.5436815363635,170.63399999999996,0.08055,-0.037223722,-0.006600969
Hom,ATP,46,520.811,1.6149,0.6149,518.648,196.4658473545454,240.63299999999998,0.07525,-0.030233959,-0.00319766
Hom,ATP,46,520.811,1.5143,0.5143,518.648,102.8445758757575,170.63399999999996,0.06271,-0.021257154,-0.005952235
