,Peak_Index,Peak_Time,Peak,Delta_Ca,Time_to_Peak,AUC,Duration,Max_Upstroke,Max_Downstroke,Repolarisation_Slope,Cell
0,24,322.87,1.1978,0.19779999999999998,322.063,213.87234073333335,129.92200000000003,0.031481113320079517,-0.017271727172717327,-0.003551227672573362,Mean Intensity 
1,26,342.859,1.336,0.3360000000000001,342.05199999999996,271.30250739999997,119.98200000000003,0.048158953722334,-0.038063806380638186,-0.00666030547497814,Mean Intensity .1
2,22,302.875,1.1262,0.1262000000000001,302.068,177.191779,241.54299999999995,0.0359741550695825,-0.013321332133213288,-0.0016196707779295467,Mean Intensity .2
3,26,342.859,1.1196,0.11959999999999993,342.05199999999996,177.95260013333333,291.602,0.0251,-0.022222222222222292,-0.004496202359912446,Mean Intensity .3
4,23,312.862,0.6879,-0.31210000000000004,312.055,82.08193713333335,513.406,0.004770000000000008,-0.0018185451638689076,-0.0001369748718330061,Mean Intensity .4
5,31,392.858,0.6209,-0.3791,392.051,49.46708833333335,479.69100000000003,0.0030806161232246527,-0.0055705570557055654,0.0004910543049105465,Mean Intensity .5
6,22,302.875,0.7418,-0.2582,302.068,162.98338433333333,513.4069999999999,0.013440000000000007,-0.0055105510551055215,-4.1988532934031465e-05,Mean Intensity .6
7,21,292.935,0.7017,-0.2983,292.128,125.71789206666668,513.397,0.007630000000000003,-0.004370437043704381,0.00019441782650076586,Mean Intensity .7
8,26,342.859,0.9192,-0.08079999999999998,342.05199999999996,148.9659664,513.4069999999999,0.012370000000000003,-0.012791279127912836,-0.0024921479277501078,Mean Intensity .8
9,24,322.87,0.9612,-0.038799999999999946,322.063,140.7803676,513.405,0.012664015904572558,-0.016231623162316286,-0.001289039958566328,Mean Intensity .9
10,25,332.859,1.2184,0.21839999999999993,332.05199999999996,209.89543026666666,139.98200000000003,0.0313717693836978,-0.0200420042004201,-0.0054843464581621525,Mean Intensity .10
11,26,342.859,0.8325,-0.16749999999999998,342.05199999999996,121.43857320000001,513.4069999999999,0.009144869215291751,-0.004240424042404254,-0.001624997214337524,Mean Intensity .11
12,25,332.859,0.9517,-0.04830000000000001,332.05199999999996,164.36993713333337,513.4069999999999,0.023280000000000002,-0.02098209820982105,-0.002817200605460433,Mean Intensity .12
13,20,282.875,0.7714,-0.22860000000000003,282.068,136.397503,482.048,0.01714,-0.013131313131313173,1.79675454438525e-05,Mean Intensity .13
14,20,282.875,0.6938,-0.3062,282.068,84.93664500000003,482.048,0.00938,-0.00396039603960397,0.00013336498780023334,Mean Intensity .14
15,31,392.858,0.7955,-0.20450000000000002,392.051,125.05753086666671,479.69100000000003,0.013800000000000002,-0.011601160116011639,-0.001255137512551378,Mean Intensity .15
16,21,292.935,0.6941,-0.30589999999999995,292.128,116.91101886666667,513.397,0.008530000000000005,-0.004480448044804491,0.000368166909758991,Mean Intensity .16
17,21,292.935,0.847,-0.15300000000000002,292.128,163.7315194,513.397,0.024670000000000004,-0.01972197219721978,0.0005292803109606373,Mean Intensity .17
18,31,392.858,0.8521,-0.14790000000000003,392.051,157.07270586666667,479.69100000000003,0.016510000000000004,-0.014741474147414788,-0.0018211377182113819,Mean Intensity .18
19,20,282.875,0.8494,-0.15059999999999996,282.068,156.99076073333336,482.048,0.024940000000000007,-0.019261926192619325,-6.976285671774583e-05,Mean Intensity .19
20,20,282.875,0.7211,-0.27890000000000004,282.068,104.80336826666668,482.048,0.01211,-0.00689068906890691,0.00027750940128841266,Mean Intensity .20
21,20,282.875,0.7495,-0.25049999999999994,282.068,113.84716233333334,482.048,0.014950000000000008,-0.010211021102110241,0.0005325605577105429,Mean Intensity .21
22,20,282.875,0.7254,-0.27459999999999996,282.068,110.56969986666667,482.048,0.012540000000000006,-0.007100710071007119,0.00035044971144549097,Mean Intensity .22
23,21,292.935,0.72,-0.28,292.128,112.11225700000003,513.397,0.01149,-0.007490749074907512,0.0006398943864923238,Mean Intensity .23
24,31,392.858,0.721,-0.279,392.051,100.63890973333334,479.69100000000003,0.005121024204840976,-0.004670467046704656,-0.0005100556051005542,Mean Intensity .24
25,20,282.875,0.6875,-0.3125,282.068,109.80647866666669,482.048,0.008750000000000003,-0.004300430043004308,7.74311134156191e-05,Mean Intensity .25
26,23,312.862,0.6828,-0.31720000000000004,312.055,92.46051113333336,513.406,0.0066200000000000035,-0.0027702770277027696,0.00026523526336184574,Mean Intensity .26
27,20,282.875,0.6753,-0.3247,282.068,106.11106173333337,482.048,0.007530000000000004,-0.0029402940294029484,0.0003455891407050906,Mean Intensity .27
