Frame,Time (ms),,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity 
16,179957,,38.5,,35.4,,38.5278,,34.35,,38.3056,,28.3667,,39.7,,41.125,,40.05,,43.2381,,42.3571,,43.8571,,44.1111,,47.25,,51.68,,48.6667,,32.12,,31,,35.25,,39.0833,,49.5143,,60.4107,,59.2381,,56.0476,,49.3333,,40.6154,,44.7125,,40.1556
17,189946,,38.625,,35.8667,,37.5278,,35.1,,37.3889,,30.0667,,38.0333,,41.3125,,37.25,,42.2143,,42.5476,,43.8286,,46.3056,,46.4643,,50.24,,50,,30.4,,31.125,,34.025,,40.2083,,48.1714,,58.9643,,58.5714,,56.0476,,49.4896,,41.4872,,44.0125,,41.1333
18,199945,,38.75,,36.0667,,39.8611,,34.15,,38.1111,,29.4333,,38.2667,,40.0625,,38.95,,42.3571,,42.1429,,43.5143,,45.4167,,48.5714,,50.04,,50.0833,,31.16,,31.425,,34.7,,40.5833,,50.0857,,58.9464,,59.7381,,56.5714,,48.8854,,42.7564,,43.925,,40.4333
19,209946,,39,,36.5333,,38.4444,,35.35,,38.5556,,28.8667,,37.3333,,41,,40.45,,42.2381,,42.7381,,43.0571,,46.1389,,47.0357,,52.64,,48.7778,,30.68,,30.625,,34.2,,40.625,,50.1429,,59.9643,,58.4286,,56.6667,,49.5833,,41.8205,,44.425,,40.6333
20,219944,,40.125,,34,,38.4167,,34.7,,37.8611,,30.3333,,38.1667,,39.8125,,39.25,,41.3571,,42.7143,,42.0286,,45.4167,,48.7857,,50.84,,49.2222,,32.56,,31.175,,34.775,,40.2917,,49.7143,,58.5179,,59.3095,,56.9048,,49.5313,,42.4872,,43.925,,40.4889
21,229944,,36.125,,34.8,,37.1944,,33.75,,36.9444,,28.9,,38.2333,,38.9375,,38.9,,41.5952,,42.0952,,42.6,,45,,47.3214,,50.04,,49.0278,,32.16,,30.675,,34.55,,40.4167,,49.1143,,58.4821,,59.1905,,56.4762,,49.6667,,41.3718,,43.3375,,40.1889
22,239943,,39.25,,35.4,,38.0556,,34.7,,37.9444,,29.4,,37.7667,,38.6875,,39.2,,41.6429,,42.381,,41.3429,,45.9722,,46.6071,,49.84,,49.3056,,32.56,,31.275,,34.525,,39.6667,,51.6571,,58.6429,,59.1905,,56.5238,,49.2083,,41.0128,,43.2625,,39.2889
23,250837,,36.6875,,33.8,,36.5833,,33.15,,37.0278,,28.8667,,36.5,,37.375,,38.25,,42.1905,,41.2857,,44.6,,45.4722,,46.5714,,50.28,,49.5556,,32.84,,31.65,,34.525,,40.125,,50.1429,,57.6964,,58,,53.7143,,48.6042,,41.1282,,43.15,,39.9
24,268363,,39.8125,,34.0667,,37.5278,,34.65,,37.4444,,29.0333,,37.3333,,40.5625,,38.55,,42.119,,41.5476,,41.2,,45.1944,,45.9643,,52.28,,48.2222,,32.72,,30.725,,34.15,,41.0417,,49.5143,,59,,57.3333,,54.381,,49.2604,,41.2179,,42.95,,39.7333
25,278349,,37.375,,34.2667,,36.6667,,35,,37.9722,,29.8333,,37.3,,40.9375,,37.75,,40.5952,,40.8095,,41.9714,,45.6389,,47.0714,,51.68,,50.6111,,32.96,,30.625,,34.6,,39.125,,50.4286,,56.4821,,57.4286,,55.2857,,49.7188,,40.7821,,43.375,,39.5444
26,333822,,37.75,,34.2,,37.3611,,35.7,,36.1944,,29.5,,38,,41.125,,39.2,,41.8095,,42.4762,,41.6,,43.9444,,48.0357,,49.28,,50.6944,,30.64,,30.875,,35.325,,41.25,,51.7429,,56.7857,,54.5714,,56.2857,,49.6146,,42.2308,,43.2625,,39.6667
27,343816,,39.375,,34.8,,37.5833,,34.85,,36.4444,,30.2667,,38.7333,,39.375,,38.35,,43.1905,,42,,41.5714,,43.75,,48.3571,,51.12,,50.0833,,32.44,,31.125,,35.475,,42.0417,,52.5714,,54.25,,54.1905,,55.4286,,49.6979,,44.3846,,44.1625,,39.5444
