Frame,Time (ms),,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity 
16,179957,,35.1,,30.6667,,30.7714,,35.4048,,41.2667,,39.7813,,33.2222,,22.75,,25.3667,,32.5952,,39.7959,,27.9524,,24.8333,,31.0816,,18.5714,,13.381,,16.0625,,24.8571,,20.4167,,37.1667,,40.5714,,41.3333,,32.9,,35.2449,,40.875,,45.5833,,44.7111,,36.3968
17,189946,,34.4667,,29.5,,30.4571,,35.8095,,41.6667,,39.4688,,33.9722,,20.8889,,26.4,,33.5238,,39.7959,,28.5238,,25.2857,,31.7143,,17.9429,,15.2857,,15.2083,,24.6429,,19.5,,36.9583,,40.6071,,44.5238,,33,,35.7347,,40.7273,,45.0972,,45.8667,,36.2857
18,199945,,35.7667,,31,,31.4286,,36.7381,,40.0667,,39.9688,,34.1111,,21.8333,,25.7667,,32.5476,,40.102,,29.119,,24.7143,,30.4286,,17.9714,,14.3571,,16.1042,,24.8036,,20.1458,,37.8333,,39.9643,,42.381,,34.225,,35.9592,,41.4205,,45.6389,,44.9333,,36.6825
19,209946,,34.0667,,29.6,,29.7714,,35.7381,,40.3333,,40.2031,,33.9722,,21.6111,,25.8333,,33.5238,,40.5102,,29.2857,,24.9048,,32,,19,,15.2381,,15.9167,,24.875,,20.375,,37.9583,,42.6071,,44.7619,,32.6625,,35.7143,,41.2614,,45.7778,,44.5778,,36.3333
20,219944,,34.7333,,30.4333,,31.5714,,36.5238,,43.0333,,40.1719,,33.4722,,22.1111,,25.7667,,33.3571,,41.5102,,29.0714,,25.4524,,31.5714,,17.9143,,15.2619,,16.3333,,24.7143,,19.8958,,37.4583,,40.8214,,42.9524,,34.15,,36.5918,,40.8636,,46.3333,,43.7111,,36.746
21,229944,,35.6,,29.5667,,30.5143,,35.9524,,40.0667,,40.6875,,32.75,,21.5833,,26.4,,32.9762,,41.1633,,29.7381,,26,,31.5102,,17.0857,,14.9762,,17.2708,,24.3929,,19.9583,,38.375,,41.25,,44.0952,,32.7,,35.4082,,40.7159,,45.75,,45.4444,,36.2063
22,239943,,35.0667,,31.1667,,30.6857,,36.2381,,40.1,,40.0469,,32.5556,,21.4722,,23.8667,,32.3571,,39.5306,,28.119,,25.0476,,30.6735,,18.2286,,15.5,,15.5,,24.2679,,19.8333,,35.7083,,41.3214,,42.0952,,32.55,,35.8571,,40.6023,,45.5,,44.4222,,35.9206
23,250837,,36.2,,31.6,,32,,36.2381,,41.1667,,39.8125,,34.0556,,20.9722,,26.3,,33.7381,,41.2245,,28.5714,,25.2857,,30.7755,,17.8857,,16.2619,,16.0208,,25.3393,,19.8333,,36.4583,,41.2143,,43,,32.725,,35.0816,,41.1477,,45.2917,,44.6222,,36.6032
24,268363,,34.1333,,29.2333,,30.9714,,35.881,,41.2667,,40.8438,,33.3056,,21.1111,,26.1333,,34.0476,,41.1224,,29.2619,,25,,31.5714,,17.5429,,15.3571,,15.5625,,25,,19.5,,36.9167,,41.6429,,42.0952,,33.65,,35.8367,,40.2614,,45.2083,,44.1556,,37.0317
25,278349,,35,,30.6,,30.9714,,35.619,,40.5667,,40.4844,,32.8056,,21.5,,25.5667,,33.2381,,41.3469,,28.5,,24.7857,,31.9388,,17.5714,,14.6667,,15.625,,25.125,,20.6875,,37.5833,,40.4286,,43.2381,,32.7,,35.449,,40.8523,,45.5833,,43.7111,,36.3651
