Frame,Time (ms),,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity 
0,0,,44.7857,,42.3214,,47.1667,,57.9667,,47.7333,,35.5714,,40.65,,43.5714,,43.4667,,47.0833,,44.2167,,41.62,,57.1964,,60.875,,49.619,,51.0612,,37,,41.1224,,47.7667,,49,,39.1111,,48.8333,,64.8667,,64.7143,,66.9167,,61.2333,,59.5417,,53.275
1,10293,,44.7143,,42.5714,,47.2222,,58.4,,46.2667,,34.7143,,40.05,,42.1429,,43.0667,,48.5625,,43.3333,,40.58,,55.8393,,61.75,,50.9048,,50.7959,,35.96,,41.3673,,47.7,,49.1429,,40.4167,,49,,64.0333,,68.5,,65.8611,,60.3333,,56.9583,,53.125
2,20292,,43.7381,,41.8929,,48.4444,,58.4667,,45.9,,36.6,,41.4,,43.4286,,42.5,,47.625,,44.3667,,40.38,,56.5536,,61.2917,,51.7857,,50.5918,,36.4,,41.6122,,48.0333,,49.5714,,40.3333,,49.4667,,64.6333,,66.2857,,65.5,,61.6,,58.8333,,52.525
3,30292,,44.0476,,40.9286,,47.8333,,59.0667,,44.7,,35.3429,,39.45,,41.3143,,42.3,,47.2292,,44.4,,39.64,,55.5,,61,,50.381,,50.5918,,37.88,,42.2041,,45.4,,49.7857,,39.5556,,50.1,,64.3,,66.8214,,66.1667,,60.9,,57.7917,,53.5
4,40292,,44.881,,42.3929,,47.2778,,57.8333,,46,,35.4571,,39.9,,41.0571,,42.3667,,45.9167,,45.05,,41.24,,56.0536,,59.4167,,49.4286,,49.9388,,37.16,,42.7143,,47.1,,48.1429,,38.9444,,49.7333,,65.0333,,65.4643,,66.9167,,60.4667,,58.6667,,52.525
5,50291,,44.1429,,41.9286,,46.7222,,59.3667,,48.0333,,35.3714,,40.4,,40.8857,,43,,46.7292,,43.85,,39.98,,55,,60.7917,,50.8095,,49.4694,,37.48,,42.449,,46.5667,,48.2619,,39.1111,,48.1,,63.6667,,63.6429,,64.5,,60.6,,56.75,,51.875
6,60292,,45.2143,,41.3214,,45.9444,,58.4667,,46.6,,34.1714,,39.15,,40.9143,,40.9,,45.625,,44.0333,,39.5,,55.25,,59.5417,,50.3333,,50.1633,,36.28,,41.5102,,47.9667,,49.1429,,38.9167,,48.2667,,66.0667,,64.6071,,65,,59.7333,,58.875,,51.9
7,70290,,43.4762,,42.1071,,45.0556,,59.4,,44.6667,,33.7429,,38.95,,40.6,,41.1,,46.8542,,44.5,,39.98,,55.9643,,59.9167,,50.119,,48.6122,,36.76,,41.9184,,48.1,,50.9286,,38.25,,48.8667,,63.0667,,64.75,,65.5278,,60.7667,,55.8333,,52.725
8,80290,,44.6429,,41.4286,,47.0556,,59.8,,45.9,,35.2571,,39.4,,39.4857,,41.5667,,47.3125,,43.4833,,40.38,,55.0714,,61.0417,,51.1429,,50.0816,,36.8,,41.4898,,48.2333,,49.8333,,38.9444,,48.8333,,65.0667,,64.7857,,65.9167,,61.8,,55.9167,,52.15
9,100380,,43.881,,40.2857,,45.4444,,57.1333,,43.5667,,32.5714,,37.4,,38.0571,,41.3667,,43.3333,,41,,37.92,,53.1964,,58.1667,,48.0714,,49.2245,,33.68,,41.3061,,46.4667,,47.2381,,39.0556,,46.5667,,63.3667,,61.1786,,62.7778,,57.0667,,53.2083,,49.325
