Frame,Time (ms),,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity 
17,171183,,11.8824,,9.6962,,8.6968,,8.5503,,8.79,,9.0337,,9.1585,,8.9749,,8.6936,,8.7063,,9.778,,9.1119,,8.6234,,9.0894,,9.4255,,9.383,,9.6365,,9.8935,,9.1861,,11.4957,,9.7648,,9.2774,,8.8272,,10.3373,,9.7427,,9.0348,,9.5788,,10.2105
18,181183,,11.6022,,9.7295,,8.5222,,8.656,,8.6237,,9.089,,8.9621,,8.7732,,8.9149,,8.9488,,9.3758,,9.3506,,8.3542,,8.9218,,9.3212,,9.4804,,9.825,,9.8324,,8.8999,,11.628,,10.0044,,9.3048,,8.6887,,10.395,,9.6298,,8.4838,,9.551,,9.7629
19,191183,,11.487,,9.6279,,8.6783,,8.6008,,8.6993,,9.0842,,8.8069,,8.7725,,8.8668,,8.5508,,9.9199,,9.3176,,8.5732,,9.0684,,9.4943,,9.2637,,10.0611,,9.9769,,8.9629,,12.0436,,9.5273,,9.2055,,8.7664,,10.2375,,9.6929,,8.3959,,9.7529,,9.7737
20,201182,,12.3052,,9.8786,,8.6354,,8.5963,,8.6382,,9.173,,9.0132,,8.9374,,8.9065,,8.8134,,9.7678,,9.1466,,8.5243,,8.9921,,9.3459,,9.3049,,9.9395,,13.9669,,8.8951,,12.0452,,10.1668,,9.5103,,8.7054,,10.6485,,9.5309,,8.8885,,10.2172,,9.9093
21,211182,,11.3069,,9.7736,,8.5622,,8.5365,,8.8654,,9.3142,,8.9749,,8.7556,,8.6841,,8.5918,,9.4517,,9.1179,,8.6628,,9.152,,9.4236,,9.2925,,9.9807,,10.3512,,9.257,,11.8812,,9.9862,,9.4466,,8.6909,,10.6784,,9.7089,,9.311,,10.2614,,9.9352
22,221197,,11.4448,,9.7866,,8.6255,,8.7856,,8.892,,9.0018,,8.9822,,8.98,,9.3424,,8.8476,,9.3389,,9.2562,,8.6206,,9.0542,,9.0165,,9.0865,,10.1793,,10.5923,,9.1483,,10.9816,,10.1885,,9.4393,,8.6948,,10.7557,,9.6268,,8.9822,,10.8123,,9.3781
23,234997,,11.5684,,9.6708,,8.6261,,8.7635,,8.8257,,9.319,,8.9424,,9.0709,,9.0511,,8.543,,9.4889,,9.0178,,8.5242,,9.3213,,9.2897,,9.0975,,10.0401,,13.207,,9.4047,,11.6385,,10.1789,,9.5523,,8.8296,,10.1822,,9.6456,,8.8727,,10.0934,,9.8279
24,245060,,11.2502,,9.7307,,8.5592,,8.6268,,8.9639,,9.2455,,9.2484,,9.0603,,8.7667,,8.6105,,9.4605,,8.9211,,8.5662,,9.2639,,9.0689,,9.2791,,10.0726,,10.6849,,8.9787,,11.2119,,9.7546,,9.4114,,8.7679,,10.1213,,9.6658,,9.1416,,10.56,,9.6109
25,255028,,11.9188,,9.7992,,8.7035,,8.8502,,8.7293,,9.2607,,8.8926,,9.0431,,8.9408,,8.7062,,9.6119,,9.1966,,8.1064,,9.1894,,9.7897,,9.3472,,10.0008,,10.7462,,9.163,,11.6919,,10.018,,9.4981,,8.8705,,10.1864,,9.7415,,8.8518,,9.9079,,9.7381
26,265206,,11.3257,,9.6007,,8.6775,,8.6743,,8.8039,,9.2447,,9.1488,,8.9452,,8.7125,,8.73,,9.9431,,9.0927,,8.5445,,8.9696,,9.4462,,9.3858,,9.6571,,11.1533,,9.0788,,13.4415,,10.2815,,9.5266,,8.7894,,10.2275,,9.6165,,8.4435,,9.8378,,9.7774
27,275054,,11.1868,,9.6961,,8.8173,,8.9761,,8.8529,,9.2898,,8.8959,,8.8749,,8.7278,,8.463,,9.7978,,9.2076,,8.3473,,9.1698,,9.099,,9.2718,,10.2342,,10.0865,,8.7812,,12.2954,,10.263,,9.303,,8.8976,,9.8942,,9.6862,,9.1347,,10.6472,,9.7081
28,285011,,11.8664,,9.7997,,8.9562,,8.8639,,8.6949,,9.3828,,8.9537,,9.1141,,8.6921,,8.7178,,9.6506,,9.1386,,8.246,,9.1702,,9.2662,,9.206,,9.7738,,10.4365,,8.8827,,12.177,,10.0909,,9.4893,,8.743,,10.6816,,9.7141,,9.0003,,10.5905,,9.5615
29,295009,,11.7777,,9.775,,8.7329,,8.9869,,9.1332,,9.0721,,8.7549,,8.8448,,9.3309,,8.6385,,9.8636,,9.0091,,8.6184,,8.8212,,9.0579,,9.2936,,9.8826,,10.3772,,8.8999,,11.4249,,10.2788,,9.1274,,8.7015,,10.2105,,9.4004,,9.2649,,10.0931,,9.368
30,305009,,11.9803,,9.7591,,8.5704,,8.9127,,9.0868,,9.2683,,8.9864,,9.1081,,9.073,,8.6398,,10.065,,9.2985,,8.5572,,8.8251,,9.2528,,9.5636,,10.3858,,10.8925,,9.1453,,11.4706,,10.1776,,9.1856,,8.7627,,10.6056,,9.8024,,9.0284,,10.4585,,9.5646
31,315008,,11.4225,,9.6624,,8.7337,,8.9474,,8.9305,,9.2602,,9.0499,,9.0822,,8.8406,,8.4635,,9.7475,,8.9447,,8.7256,,9.0088,,8.9513,,9.3353,,10.0551,,10.9642,,9.1948,,13.7171,,10.3865,,8.8013,,8.9611,,10.0173,,9.7833,,9.2237,,10.4149,,9.4331
32,325010,,11.5614,,9.7548,,8.6637,,8.8017,,9.0064,,9.2627,,8.9138,,8.6938,,8.9386,,8.6895,,9.6998,,9.0967,,8.3353,,9.1972,,8.9451,,9.2821,,10.1509,,11.4102,,9.2134,,11.5235,,10.1579,,8.971,,8.6871,,10.032,,9.6671,,8.9218,,10.5783,,9.4027
33,335098,,11.931,,9.8104,,8.8707,,8.8002,,9.2149,,9.1779,,8.8048,,9.1194,,8.9063,,8.3449,,9.9444,,9.5462,,8.4967,,9.168,,9.1822,,9.7201,,10.0193,,12.6505,,9.0497,,13.0726,,10.3442,,8.9852,,8.9195,,10.2428,,9.7031,,9.5104,,10.1632,,9.4595
34,345025,,11.7008,,9.6781,,8.7498,,8.7077,,8.8163,,9.0538,,8.9411,,8.9533,,8.5745,,8.729,,9.5147,,9.4165,,8.5259,,9.1055,,9.0469,,9.5092,,9.8581,,10.95,,9.0039,,13.4557,,10.0965,,9.3863,,8.7688,,9.8611,,9.6827,,9.1776,,10.6145,,9.801
35,355019,,11.4611,,9.8766,,8.7552,,8.8471,,9.1564,,9.0222,,8.992,,9.1192,,8.7273,,8.7387,,9.5732,,9.3679,,8.8217,,8.9635,,9.4392,,9.5693,,9.9656,,11.4021,,8.9139,,11.246,,10.4855,,9.5911,,8.6802,,10.3147,,9.6333,,10.2605,,9.9092,,9.5917
