Frame,Time (ms),,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity 
17,198703,,9.1291,,11.1163,,8.9128,,8.8512,,12.7557,,9.499,,10.1647,,10.7876,,8.5916,,8.9109,,9.1296,,10.7038,,8.1793,,10.4011,,10.1421,,10.5305,,9.3562,,10.4923,,11.3153,,10.0371,,10.1901,,10.5073,,10.2756,,10.9992,,10.6803,,10.0118,,9.6578,,9.6691
18,208700,,9.1623,,10.9902,,9.1854,,8.7905,,13.2465,,9.622,,9.7553,,10.0685,,8.2795,,8.9298,,8.9444,,11.1746,,8.1675,,10.9119,,10.022,,10.434,,8.9268,,9.9115,,10.189,,10.1962,,10.3618,,10.8113,,10.116,,10.4431,,10.502,,9.5944,,9.6171,,10.0253
19,218701,,9.5807,,11.0844,,14.8423,,12.7755,,23.8258,,9.3289,,9.7866,,9.834,,8.1875,,9.6664,,10.58,,11.3209,,8.0402,,10.5283,,10.0223,,11.4491,,9.4015,,10.2405,,11.2961,,10.1651,,10.6188,,10.2892,,10.2742,,10.3113,,10.837,,9.5242,,10.046,,9.663
20,228699,,8.7624,,10.644,,11.5638,,12.6896,,12.9417,,9.5631,,10.198,,9.5085,,8.3243,,9.2194,,8.9129,,11.5395,,8.4083,,10.5758,,10.2315,,10.2013,,9.2917,,9.9938,,10.8089,,10.0327,,10.5474,,10.1604,,10.0611,,10.3397,,10.709,,9.8088,,9.2401,,9.6237
21,238700,,9.3836,,11.0461,,9.6279,,9.2988,,12.4868,,9.6806,,9.7562,,10.1059,,8.4086,,9.0247,,9.1662,,11.1456,,8.3766,,10.3956,,10.156,,10.7603,,9.3055,,10.0028,,10.6042,,9.4324,,10.2708,,10.4044,,10.1697,,10.4015,,10.9835,,10.0711,,9.4696,,9.0632
22,249594,,8.943,,10.2714,,9.1638,,8.9499,,11.5072,,9.3752,,9.435,,9.7479,,8.2629,,9.0644,,9.3018,,11.0008,,8.281,,10.1445,,9.9311,,10.5997,,9.1695,,9.8201,,11.1036,,10.2432,,10.318,,10.0994,,9.9304,,10.4006,,10.8913,,9.6952,,9.2326,,9.0844
23,296227,,12.615,,11.4552,,14.2146,,14.2311,,16.3265,,12.5982,,14.2534,,22.7613,,11.6363,,12.9172,,16.4349,,24.6328,,12.5758,,12.3978,,11.9053,,11.6903,,9.8383,,14.5407,,10.6293,,10.9744,,13.8405,,12.416,,11.2264,,12.8752,,13.2699,,13.4436,,11.5009,,10.6134
24,306372,,12.3027,,10.6491,,13.3225,,13.5607,,14.9795,,11.5118,,14.2781,,16.7904,,11.8533,,15.1031,,12.8418,,20.8513,,12.9863,,12.9062,,11.8513,,11.4907,,9.9343,,13.698,,10.1134,,11.7347,,12.3502,,12.7337,,11.7079,,12.7631,,12.1665,,12.6928,,9.8032,,11.1983
25,316211,,12.6207,,11.0338,,12.7406,,14.056,,15.5501,,12.1574,,13.807,,20.6555,,12.1272,,14.0986,,15.4255,,17.5523,,15.6762,,12.0181,,11.336,,12.0715,,10.019,,12.4249,,9.6536,,11.8235,,13.2106,,12.3255,,11.1384,,13.1013,,12.3853,,13.2477,,10.1983,,9.9256
26,326219,,13.2062,,10.8973,,19.3607,,18.7721,,17.0319,,12.7915,,14.0059,,14.775,,11.7602,,20.3277,,17.7069,,14.9781,,12.2837,,12.3171,,12.3239,,11.6729,,10.0532,,13.0803,,9.465,,10.8471,,13.0441,,13.075,,11.8159,,13.117,,11.7263,,12.5867,,10.3589,,10.4587
27,336236,,13.5395,,10.9687,,14.3025,,13.6994,,14.4522,,12.7869,,14.5727,,15.9426,,12.5139,,15.0275,,13.6148,,15.2875,,12.9536,,12.2315,,11.955,,12.1635,,10.4156,,14.8323,,10.0107,,10.3383,,12.6101,,12.1894,,11.4987,,12.521,,13.0885,,12.3348,,10.5605,,10.8398
28,346218,,12.5463,,11.3313,,13.6233,,13.9194,,16.1116,,13.0761,,14.2898,,18.7093,,11.6605,,14.1076,,14.183,,14.3931,,12.9305,,12.0391,,11.7442,,12.0521,,9.949,,14.4032,,9.4414,,11.0234,,12.642,,12.3782,,11.7892,,12.5612,,12.0484,,13.5899,,10.4209,,10.6505
29,356209,,12.2547,,10.8043,,13.3472,,13.7173,,15.1331,,13.0585,,16.0807,,18.0339,,12.2026,,13.7096,,14.5057,,15.861,,12.0893,,12.931,,11.7286,,12.6802,,10.0417,,13.173,,10.2557,,11.1862,,13.5502,,12.2107,,11.0869,,12.9058,,12.7406,,13.8468,,10.6297,,10.4992
30,366207,,13.0773,,11.1946,,13.3173,,13.6745,,14.8957,,13.0462,,16.1336,,16.0963,,11.4207,,14.3423,,14.9428,,15.4132,,13.2497,,11.9258,,11.7116,,11.9476,,10.0723,,13.8484,,9.5552,,10.8635,,12.7984,,12.1152,,11.5646,,12.713,,12.248,,13.9801,,10.8215,,10.7468
31,376207,,13.8179,,10.4582,,13.7316,,15.0477,,15.1192,,13.2398,,14.2123,,16.8579,,13.1244,,15.8508,,13.3669,,15.507,,14.6699,,11.2553,,11.5932,,12.6967,,10.3237,,17.5585,,9.8124,,10.8994,,13.854,,12.4502,,11.1415,,12.892,,13.3491,,12.3878,,10.5406,,10.3923
32,387594,,12.3644,,10.7752,,13.5888,,12.9142,,16.5809,,13.5726,,14.0405,,23.4673,,11.5683,,13.0323,,13.8266,,16.4618,,13.324,,12.1187,,12.5174,,12.4934,,10.1328,,14.8969,,10.0441,,10.7383,,12.1252,,12.1609,,11.8816,,12.0716,,12.6494,,12.7024,,10.1151,,10.2187
33,398090,,11.9562,,10.5442,,14.5311,,11.998,,14.8365,,12.9989,,15.6414,,21.6997,,12.6357,,13.8369,,14.511,,14.8635,,13.5158,,12.2,,12.1815,,11.7042,,10.0105,,15.838,,10.1096,,10.9672,,13.0105,,12.6609,,11.7275,,13.3245,,12.834,,12.734,,10.4804,,10.4057
34,412591,,12.2049,,11.2616,,14.1386,,13.7156,,17.7935,,12.1984,,16.959,,17.1851,,11.7322,,14.3524,,14.8237,,16.8625,,12.7804,,12.8244,,11.743,,12.3942,,10.5924,,14.0803,,9.816,,10.7774,,13.005,,12.3359,,12.1308,,13.4797,,12.7952,,13.3481,,10.2365,,10.8233
35,422580,,12.6762,,10.3834,,14.2203,,12.9629,,14.799,,13.3562,,14.551,,18.4993,,11.3502,,13.7238,,13.6331,,14.0269,,12.8731,,13.2768,,12.4445,,12.4394,,10.4786,,14.7214,,9.5673,,11.0447,,13.2662,,12.4378,,11.2417,,12.0002,,13.7197,,13.2682,,10.4538,,10.5478
36,432580,,14.0121,,10.4629,,13.7868,,14.891,,14.619,,13.0248,,14.1692,,15.3578,,11.7878,,13.3741,,13.1741,,15.4568,,13.3319,,11.7738,,11.6926,,12.43,,10.2675,,15.531,,10.0355,,11.2178,,13.4397,,12.748,,11.7341,,13.46,,11.8034,,13.0088,,10.8141,,11.2378
37,442580,,13.3285,,10.709,,14.9652,,14.7825,,15.9525,,13.218,,15.9968,,16.3545,,12.0309,,13.2669,,14.0143,,17.9722,,13.4455,,11.1645,,12.2138,,12.3587,,10.365,,14.5039,,9.6374,,10.9681,,13.4959,,13.1867,,12.0998,,11.9955,,13.1109,,12.3558,,11.0402,,10.2733
38,452575,,12.3635,,10.5798,,13.6242,,13.8535,,15.8725,,13.5057,,18.5562,,16.9267,,11.6833,,14.314,,13.802,,22.751,,13.11,,12.5321,,11.8215,,12.3736,,10.0715,,13.0254,,9.8402,,10.8575,,13.7239,,11.9411,,11.5079,,13.5371,,12.6484,,13.0428,,11.1538,,10.9015
