Frame,Time (ms),,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity 
17,181247,,13.1238,,11.6903,,7.877,,8.6237,,10.2452,,7.2851,,9.237,,11.9094,,8.7889,,8.7241,,9.3313,,8.2065,,10.568,,8.0345,,11.7957,,10.871,,11.4824,,10.1292,,10.5179,,9.9499,,10.9334,,11.086,,12.7102,,9.479,,13.2703,,8.5957,,9.7982,,10.2504
18,191248,,11.596,,11.4065,,8.7792,,8.7837,,9.5298,,7.1411,,9.2003,,11.107,,8.7393,,9.3375,,9.7004,,8.2453,,10.545,,8.0272,,12.0734,,11.4667,,11.985,,11.0747,,10.7954,,10.812,,10.9878,,11.1953,,12.5303,,9.0492,,12.7039,,8.4582,,9.6932,,10.5072
19,221702,,9.8179,,10.4182,,8.4508,,8.62,,10.2468,,7.6307,,9.2001,,10.8116,,9.4179,,9.4788,,9.273,,8.3146,,10.1335,,7.9373,,11.1539,,10.7455,,11.151,,11.3557,,10.8281,,10.517,,10.4611,,11.124,,12.4247,,8.4429,,12.7755,,8.5385,,9.8171,,10.3161
20,231881,,10.0909,,9.9026,,8.5567,,8.8421,,9.5225,,7.6164,,9.3738,,10.959,,8.652,,9.1007,,9.2002,,8.1959,,10.331,,8.2217,,11.7874,,11.109,,11.602,,10.7918,,10.6174,,10.7938,,10.8744,,10.8926,,12.6287,,8.4782,,13.0741,,8.6923,,9.3822,,9.9907
21,241694,,9.0832,,10.1076,,15.0103,,8.6854,,9.7874,,7.4774,,9.2594,,11.1244,,8.7774,,9.249,,9.5165,,8.3181,,10.12,,7.9689,,11.613,,11.4954,,11.7498,,10.5251,,10.3777,,10.996,,10.8386,,11.0895,,12.5374,,8.2353,,12.1812,,8.3946,,9.6422,,9.958
22,251685,,9.5252,,9.7244,,12.3899,,8.7606,,10.1858,,7.4511,,9.0444,,11.1274,,9.5308,,9.5635,,9.3526,,8.5388,,10.3824,,8.1356,,12.1257,,11.427,,11.0966,,10.9339,,10.5261,,10.3225,,10.4961,,11.6905,,12.8615,,8.1951,,12.3898,,8.8035,,9.3226,,9.963
23,261683,,9.0732,,10.4057,,9.2091,,8.6619,,9.4886,,7.2504,,9.7246,,10.7931,,8.6687,,9.2801,,9.5529,,8.5701,,10.2419,,8.0843,,12.1574,,11.1845,,11.052,,10.8184,,10.287,,10.0902,,10.9572,,11.7195,,12.4826,,8.0352,,13.0454,,8.5007,,9.1794,,9.9113
24,271683,,9.3753,,9.7971,,8.8167,,8.5418,,9.6178,,6.9225,,9.1777,,10.3916,,9.1862,,8.8343,,9.3764,,8.4598,,10.482,,7.9457,,11.8573,,10.6751,,11.6899,,11.3045,,10.3654,,10.8407,,10.7606,,11.9062,,12.7963,,8.1474,,12.8593,,8.8178,,8.5205,,9.4465
25,281682,,9.4419,,11.3937,,8.9257,,8.7205,,10.2811,,7.2909,,9.4857,,10.4702,,9.2998,,9.1493,,9.706,,8.436,,10.21,,8.0799,,11.6065,,11.1272,,13.165,,10.974,,10.8526,,10.6192,,11.0442,,12.6691,,12.7874,,8.2758,,13.219,,8.7222,,9.1123,,9.9638
26,291682,,10.1261,,11.3608,,9.1849,,8.9681,,9.4172,,7.2432,,9.2006,,11.1271,,9.5158,,9.5916,,9.2399,,8.4245,,10.125,,8.0899,,12.2526,,10.4285,,11.361,,10.6123,,10.6046,,10.7069,,11.1482,,13.0461,,13.3832,,8.2339,,13.562,,8.6381,,9.8972,,10.5734
27,301682,,10.5841,,11.5262,,9.0075,,8.4601,,10.1345,,7.2659,,8.8167,,10.7282,,9.3043,,9.287,,9.9806,,8.2997,,10.329,,7.8146,,12.2981,,11.1658,,12.7534,,11.0925,,10.4956,,10.8618,,10.7268,,13.5151,,12.9575,,8.3559,,13.0175,,8.8144,,9.8626,,10.2396
28,311681,,10.035,,11.5648,,8.532,,8.7574,,10.0206,,7.5496,,9.2581,,10.4394,,9.1213,,9.1298,,9.5058,,8.4937,,10.0592,,8.3287,,11.7587,,10.8602,,13.15,,10.9481,,10.1031,,10.0168,,11.1377,,12.9747,,12.9818,,8.1896,,14.0002,,8.7939,,9.9796,,9.931
29,321681,,9.6079,,12.1469,,8.9822,,8.5312,,9.7144,,7.3822,,8.9523,,10.8424,,8.8015,,9.2304,,9.4354,,8.3107,,9.9183,,7.8111,,12.3553,,10.7013,,11.8915,,11.5762,,10.5945,,11.4597,,11.0131,,13.8448,,12.6253,,7.9263,,13.6292,,8.4431,,10.0628,,10.0099
30,331681,,9.7575,,12.0722,,8.6933,,8.9535,,10.012,,7.381,,9.2993,,11.0521,,8.9741,,9.37,,9.8697,,8.373,,10.2691,,7.7868,,11.9651,,11.1033,,11.861,,10.8986,,10.5658,,10.7964,,11.4018,,14.4041,,13.2782,,7.9962,,14.0254,,8.5232,,10.173,,9.8845
31,341681,,9.9475,,12.1038,,9.1251,,8.6315,,9.9096,,7.1242,,9.3966,,10.6506,,8.9804,,9.294,,9.6608,,8.6481,,9.9237,,7.9495,,11.8505,,11.1434,,11.5139,,11.1963,,10.9203,,10.7341,,11.2151,,13.5926,,12.7298,,8.085,,13.9043,,8.4458,,9.7999,,10.2645
32,351682,,10.5212,,11.993,,8.4566,,8.5946,,9.36,,7.6613,,8.4684,,10.7541,,8.731,,9.0597,,9.8684,,8.4157,,10.0243,,8.0853,,12.1838,,10.9217,,11.8539,,11.7205,,10.7012,,10.6115,,10.8471,,13.4976,,12.4587,,8.029,,14.2596,,8.7706,,10.1811,,10.0328
33,361680,,11.246,,11.6781,,8.6251,,8.6439,,9.9059,,7.2755,,8.9634,,11.1463,,9.143,,9.6416,,9.8619,,8.1271,,9.9855,,7.9177,,12.367,,11.0096,,10.7677,,11.0727,,10.3521,,11.1959,,11.1805,,14.035,,13.1554,,8.1719,,14.5342,,8.7311,,9.9035,,10.1283
34,371679,,12.4086,,12.7164,,9.0237,,8.3589,,9.948,,7.2738,,9.2087,,11.3541,,8.9894,,8.9809,,9.7282,,8.2651,,10.0575,,7.9677,,12.0231,,10.7452,,12.3633,,11.1623,,10.4184,,10.8646,,11.1114,,13.9619,,13.1711,,7.9903,,14.2521,,8.3371,,10.8579,,10.2388
35,381679,,12.86,,11.9092,,8.3523,,8.6316,,10.209,,7.4499,,9.3862,,11.17,,9.2816,,9.4865,,9.8216,,8.3299,,9.9878,,8.1604,,12.0082,,11.7673,,11.6212,,10.8482,,10.5748,,10.3971,,10.8981,,13.6259,,13.1458,,9.5367,,14.3007,,8.738,,10.904,,10.1096
36,391678,,12.4955,,12.7736,,8.255,,8.8893,,9.6303,,7.1554,,8.8608,,10.5845,,8.9341,,9.2972,,9.6827,,8.4732,,9.9396,,7.7298,,12.0388,,11.2503,,12.8822,,10.7744,,10.4198,,11.1133,,9.9089,,14.7295,,13.1023,,10.0162,,13.9008,,8.0155,,11.054,,10.0666
37,401678,,12.6219,,11.9582,,8.564,,9.0716,,10.0304,,7.0627,,8.922,,11.5614,,8.7263,,9.3274,,9.4538,,8.4128,,10.0666,,8.362,,12.6371,,11.5819,,13.4673,,11.2553,,10.462,,10.6858,,10.486,,14.1186,,13.3363,,10.3388,,14.0048,,8.6177,,11.7054,,10.2868
38,411679,,13.0085,,13.0907,,8.5048,,8.9291,,9.9921,,7.2837,,9.0748,,10.829,,9.1546,,9.6103,,9.6902,,8.3847,,10.1887,,7.8595,,12.8777,,10.97,,14.4453,,11.0953,,10.984,,11.131,,10.3785,,14.4788,,13.5278,,9.8764,,14.6711,,8.9372,,12.5049,,10.1536
39,421677,,13.4304,,13.5826,,8.589,,8.9427,,9.913,,7.3775,,8.7341,,10.9499,,9.072,,9.9749,,9.6612,,9.0256,,10.2831,,8.1429,,13.0898,,10.8925,,14.4398,,11.9757,,10.4563,,10.5769,,11.6105,,15.1303,,13.2266,,9.5322,,15.6917,,9.0912,,12.7071,,10.3139
40,452532,,23.2866,,27.3453,,29.7514,,16.4044,,25.1436,,9.8482,,23.8832,,37.3552,,33.5245,,29.6706,,28.4195,,21.1788,,25.8722,,19.7415,,25.8364,,27.1073,,25.1438,,26.6981,,23.4099,,21.1075,,26.573,,23.5454,,20.0293,,23.8208,,29.2632,,24.0111,,21.0879,,23.0231
